question,answers,type,template_variant
"Who wrote the book ""Murder in the Mystery Suite""?",Ellery Adams,book-author,who-wrote-book
"Who is the author of the book ""A Star in the Face of the Sky""?",David Haynes,book-author,author-of-book
"Who wrote the book ""The Ballad of Lucy Whipple""?",Karen Cushman,book-author,who-wrote-book
"Who wrote the book ""The Grace of Repentance (Today's Issues""?",Sinclair B. Ferguson,book-author,who-wrote-book
"Who wrote the book ""Doce hombres comunes y corrientes: Cómo el Maestro formó a sus discípulos para la grandeza, y lo que Él quiere hacer contigo""?",John F. MacArthur Jr.,book-author,who-wrote-book
"Who wrote the book ""Wild Mind: Living the Writer's Life""?",Natalie Goldberg,book-author,who-wrote-book
"Who is the author of the book ""Because of Winn-Dixie""?",Kate DiCamillo,book-author,author-of-book
"Who is the author of the book ""Stranded with a Billionaire""?",Jessica Clare,book-author,author-of-book
"Who wrote the book ""The Sheik and the Bought Bride""?",Susan Mallery,book-author,who-wrote-book
"Who wrote the book ""Brothers, We Are Not Professionals: A Plea to Pastors for Radical Ministry""?",John Piper,book-author,who-wrote-book
"Who wrote the book ""When the Snow Fell""?",Henning Mankell,book-author,who-wrote-book
"Who wrote the book ""The Story of Don Quixote""?",Cervantes Saavedra Miguel de,book-author,who-wrote-book
"Who is the author of the book ""Hannah's List""?",Debbie Macomber,book-author,author-of-book
"Who wrote the book ""Hospital Sketches""?",Louisa May Alcott,book-author,who-wrote-book
"Who wrote the book ""Pavilion of Women""?",Pearl S. Buck,book-author,who-wrote-book
"Who is the author of the book ""Armageddon""?",Leon Uris,book-author,author-of-book
"Who wrote the book ""The Social Sex: A History of Female Friendship""?",Marilyn Yalom,book-author,who-wrote-book
"Who is the author of the book ""Infamous""?",Cecily von Ziegesar,book-author,author-of-book
"Who is the author of the book ""A Clockwork Orange""?",Anthony Burgess,book-author,author-of-book
"Who is the author of the book ""The Devil's Chessboard: Allen Dulles and the Rise of America's Secret Government""?",David Talbot,book-author,author-of-book
"Who wrote the book ""Flaubert's Parrot""?",Julian Barnes,book-author,who-wrote-book
"Who wrote the book ""Paris""?",Edward Rutherfurd,book-author,who-wrote-book
"Who wrote the book ""Henry VIII""?",William Shakespeare,book-author,who-wrote-book
"Who is the author of the book ""A Discovery of Witches""?",Deborah Harkness,book-author,author-of-book
"Who is the author of the book ""Collected Shorter Plays""?",Samuel Beckett,book-author,author-of-book
"Who wrote the book ""Experience the Impossible: Simple Ways to Unleash Heaven's Power on Earth""?",Bill Johnson,book-author,who-wrote-book
"Who is the author of the book ""Once Upon a Time""?",Francine Pascal,book-author,author-of-book
"Who wrote the book ""The Footprints of God: A Novel""?",Greg Iles,book-author,who-wrote-book
"Who is the author of the book ""The Sagan Diary""?",John Scalzi,book-author,author-of-book
"Who wrote the book ""Light""?",M. John Harrison,book-author,who-wrote-book
"Who is the author of the book ""V for Vendetta, Vol. III of X""?",Alan Moore,book-author,author-of-book
"Who is the author of the book ""Across the Wall: A Tale of the Abhorsen and Other Stories""?",Garth Nix,book-author,author-of-book
"Who is the author of the book ""Carry On""?",Rainbow Rowell,book-author,author-of-book
"Who wrote the book ""Imperfect Birds""?",Anne Lamott,book-author,who-wrote-book
"Who wrote the book ""Enchantments""?",Kathryn Harrison,book-author,who-wrote-book
"Who is the author of the book ""Fullmetal Alchemist""?",Hiromu Arakawa,book-author,author-of-book
"Who wrote the book ""Jonathan Livingston Seagull: A story""?",Richard Bach,book-author,who-wrote-book
"Who is the author of the book ""Dance of the Happy Shades""?",Alice Munro,book-author,author-of-book
"Who is the author of the book ""The Work of Christ: What the Events of Jesus' Life Mean for You""?",R.C. Sproul,book-author,author-of-book
"Who is the author of the book ""The Value of X""?",Poppy Z. Brite,book-author,author-of-book
"Who wrote the book ""My Nine Lives: Chapters of a Possible Past""?",Ruth Prawer Jhabvala,book-author,who-wrote-book
"Who wrote the book ""The Best Horror of the Year: 2""?",Ellen Datlow,book-author,who-wrote-book
"Who is the author of the book ""William Shakespeare""?",Victor Hugo,book-author,author-of-book
"Who wrote the book ""The Goddess Rules""?",Clare Naylor,book-author,who-wrote-book
"Who is the author of the book ""Who Will Cry When You Die?: Life Lessons From The Monk Who Sold His Ferrari""?",Robin S. Sharma,book-author,author-of-book
"Who is the author of the book ""Gone For Soldiers""?",Jeff Shaara,book-author,author-of-book
"Who is the author of the book ""Poseidon's Arrow""?",Clive Cussler,book-author,author-of-book
"Who is the author of the book ""Surprised by Suffering""?",R.C. Sproul,book-author,author-of-book
"Who wrote the book ""Wir Philologen - Friedrich Nietzsche: Wir Philologen Friedrich Nietzsche Volltext""?",Friedrich Wilhelm Nietzsche,book-author,who-wrote-book
"Who is the author of the book ""Wild Ride""?",Jennifer Crusie,book-author,author-of-book
"Who wrote the book ""No Ordinary Love""?",Mary Balogh,book-author,who-wrote-book
"Who is the author of the book ""Men in the Off Hours""?",Anne Carson,book-author,author-of-book
"Who is the author of the book ""No In Between""?",Lisa Renee Jones,book-author,author-of-book
"Who wrote the book ""Vingt mille lieues sous les mers : tome 2""?",Jules Verne,book-author,who-wrote-book
"Who wrote the book ""The Fry Chronicles""?",Stephen Fry,book-author,who-wrote-book
"Who wrote the book ""This Storm""?",James Ellroy,book-author,who-wrote-book
"Who is the author of the book ""Underdogs""?",Markus Zusak,book-author,author-of-book
"Who wrote the book ""Onward: Cultivating Emotional Resilience in Educators""?",Elena Aguilar,book-author,who-wrote-book
"Who wrote the book ""Throwing the Elephant""?",Stanley Bing,book-author,who-wrote-book
"Who is the author of the book ""The Bermudez Triangle""?",Maureen Johnson,book-author,author-of-book
"Who is the author of the book ""Sherlock Holmes""?",Arthur Conan Doyle,book-author,author-of-book
"Who is the author of the book ""The Complete Works of Ralph Waldo Emerson & Henry David Thoreau""?",Ralph Waldo Emerson,book-author,author-of-book
"Who is the author of the book ""How to Be a Heroine: Or, What I've Learned from Reading too Much""?",Samantha Ellis,book-author,author-of-book
"Who wrote the book ""Engineering Infinity""?",Charles Stross,book-author,who-wrote-book
"Who is the author of the book ""The Elfstones of Shannara""?",Terry Brooks,book-author,author-of-book
"Who wrote the book ""Woman Hater""?",Diana Palmer,book-author,who-wrote-book
"Who is the author of the book ""The Great Escape: Health, Wealth, and the Origins of Inequality""?",Angus Deaton,book-author,author-of-book
"Who wrote the book ""A Walk in Wolf Wood""?",Mary Stewart,book-author,who-wrote-book
"Who is the author of the book ""Major Trends in Jewish Mysticism""?",Gershom Scholem,book-author,author-of-book
"Who is the author of the book ""The Intellectual Origins of the European Reformation""?",Alister E. McGrath,book-author,author-of-book
"Who is the author of the book ""The Kiss""?",Danielle Steel,book-author,author-of-book
"Who wrote the book ""The Open Boat and Other Stories""?",Stephen Crane,book-author,who-wrote-book
"Who is the author of the book ""Leaving""?",Karen Kingsbury,book-author,author-of-book
"Who is the author of the book ""City of Golden Shadow""?",Tad Williams,book-author,author-of-book
"Who is the author of the book ""United States of Banana""?",Giannina Braschi,book-author,author-of-book
"Who is the author of the book ""No Is Not Enough: Resisting Trump’s Shock Politics and Winning the World We Need""?",Naomi Klein,book-author,author-of-book
"Who is the author of the book ""Total Recall""?",Philip K. Dick,book-author,author-of-book
"Who is the author of the book ""Roger's Profanisaurus: The Magna Farta.""?",VIZ,book-author,author-of-book
"Who wrote the book ""Maigret in New York: Inspector Maigret #27""?",Georges Simenon,book-author,who-wrote-book
"Who is the author of the book ""Sidney Sheldon's The Tides of Memory""?",Sidney Sheldon,book-author,author-of-book
"Who is the author of the book ""Ruth: Under the Wings of God""?",John Piper,book-author,author-of-book
"Who is the author of the book ""Go Pro - 7 Steps to Becoming a Network Marketing Professional""?",Eric Worre,book-author,author-of-book
"Who is the author of the book ""Everybody's Fool""?",Richard Russo,book-author,author-of-book
"Who is the author of the book ""The Wrong Highlander""?",Lynsay Sands,book-author,author-of-book
"Who is the author of the book ""Of Human Freedom""?",Epictetus,book-author,author-of-book
"Who is the author of the book ""Until the End""?",Christopher Pike,book-author,author-of-book
"Who wrote the book ""Don't Look Back""?",Jennifer L. Armentrout,book-author,who-wrote-book
"Who is the author of the book ""The Quest""?",Nelson DeMille,book-author,author-of-book
"Who wrote the book ""Get Me Out of Here: My Recovery from Borderline Personality Disorder""?",Rachel Reiland,book-author,who-wrote-book
"Who wrote the book ""Twelve Ordinary Men""?",John F. MacArthur Jr.,book-author,who-wrote-book
"Who is the author of the book ""Yon Ill Wind""?",Piers Anthony,book-author,author-of-book
"Who wrote the book ""The Hunt for Red October""?",Tom Clancy,book-author,who-wrote-book
"Who is the author of the book ""Written in My Own Heart's Blood""?",Diana Gabaldon,book-author,author-of-book
"Who wrote the book ""Choose Love Book of Prayers""?",Stormie Omartian,book-author,who-wrote-book
"Who is the author of the book ""The Fourth Durango""?",Ross Thomas,book-author,author-of-book
"Who is the author of the book ""The Spider's War""?",Daniel Abraham,book-author,author-of-book
"Who is the author of the book ""The Frightful First World War""?",Terry Deary,book-author,author-of-book
"Who is the author of the book ""Traité sur la tolérance, à l'occasion de la mort de Jean Calas""?",Voltaire,book-author,author-of-book
"Who wrote the book ""Alec Baldwin Doesn't Love Me and Other Trials from My Queer Life""?",Michael Thomas Ford,book-author,who-wrote-book
"Who wrote the book ""Dreaming in French: The Paris Years of Jacqueline Bouvier Kennedy, Susan Sontag, and Angela Davis""?",Alice Kaplan,book-author,who-wrote-book
"Who is the author of the book ""Oz: The Complete Collection""?",L. Frank Baum,book-author,author-of-book
"Who is the author of the book ""Number9Dream""?",David Mitchell,book-author,author-of-book
"Who is the author of the book ""The Duchess of Malfi""?",John Webster,book-author,author-of-book
"Who is the author of the book ""An Event in Autumn: A Kurt Wallander Mystery""?",Henning Mankell,book-author,author-of-book
"Who is the author of the book ""Was the Cat in the Hat Black?: The Hidden Racism of Children's Literature, and the Need for Diverse Books""?",Philip Nel,book-author,author-of-book
"Who is the author of the book ""Las leyes de la frontera""?",Javier Cercas,book-author,author-of-book
"Who wrote the book ""Demonic: How the Liberal Mob is Endangering America""?",Ann Coulter,book-author,who-wrote-book
"Who is the author of the book ""In the Wind""?",Bijou Hunter,book-author,author-of-book
"Who is the author of the book ""The Possessed""?",Fyodor Dostoyevsky,book-author,author-of-book
"Who wrote the book ""Rick Bet Blank""?",Jarod Kintz,book-author,who-wrote-book
"Who wrote the book ""Miramar""?",Naguib Mahfouz,book-author,who-wrote-book
"Who wrote the book ""From Cliche To Archetype""?",Marshall McLuhan,book-author,who-wrote-book
"Who wrote the book ""The Little Paris Bookshop""?",Nina George,book-author,who-wrote-book
"Who is the author of the book ""The Love of the Last Tycoon""?",F. Scott Fitzgerald,book-author,author-of-book
"Who wrote the book ""How They Met, and Other Stories""?",David Levithan,book-author,who-wrote-book
"Who is the author of the book ""The Assassination of Julius Caesar: A People's History of Ancient Rome""?",Michael Parenti,book-author,author-of-book
"Who is the author of the book ""Moonlit Nights""?",Jacob Parr,book-author,author-of-book
"Who is the author of the book ""Love Out Loud: 365 Devotions for Loving God, Loving Yourself and Loving Others""?",Joyce Meyer,book-author,author-of-book
"Who is the author of the book ""The Blue Girl""?",Charles De Lint,book-author,author-of-book
"Who is the author of the book ""The Respectable Prostitute/Lucifer and the Lord/In Camera""?",Jean-Paul Sartre,book-author,author-of-book
"Who wrote the book ""Letters of Elizabeth Barrett Browning to Mary Russell Mitford, 1836-1854""?",Elizabeth Barrett Browning,book-author,who-wrote-book
"Who wrote the book ""The Novel: An Alternative History: Beginnings to 1600""?",Steven Moore,book-author,who-wrote-book
"Who is the author of the book ""Otra vez el mar""?",Reinaldo Arenas,book-author,author-of-book
"Who wrote the book ""The Last Continent""?",Terry Pratchett,book-author,who-wrote-book
"Who is the author of the book ""The Metaphysical Club""?",Louis Menand,book-author,author-of-book
"Who wrote the book ""The First Four Years""?",Laura Ingalls Wilder,book-author,who-wrote-book
"Who is the author of the book ""Endangered Species""?",Gene Wolfe,book-author,author-of-book
"Who wrote the book ""On Becoming a Leader Revised Edition""?",Warren G. Bennis,book-author,who-wrote-book
"Who wrote the book ""Kissing Fish: christianity for people who don't like christianity""?",Roger Wolsey,book-author,who-wrote-book
"Who is the author of the book ""The Half Has Never Been Told: Slavery and the Making of American Capitalism""?",Edward E. Baptist,book-author,author-of-book
"Who wrote the book ""Julieta: Three Stories That Inspired the Movie""?",Alice Munro,book-author,who-wrote-book
"Who is the author of the book ""Why Orwell Matters""?",Christopher Hitchens,book-author,author-of-book
"Who is the author of the book ""Fanshawe""?",Nathaniel Hawthorne,book-author,author-of-book
"Who wrote the book ""Tender Triumph""?",Judith McNaught,book-author,who-wrote-book
"Who is the author of the book ""Love Never Dies""?",Christina Dodd,book-author,author-of-book
"Who is the author of the book ""Magellan""?",Stefan Zweig,book-author,author-of-book
"Who is the author of the book ""Operation Goodwood""?",Sara Sheridan,book-author,author-of-book
"Who is the author of the book ""Holy Skirts: A Novel of a Flamboyant Woman Who Risked All for Art""?",Rene Steinke,book-author,author-of-book
"Who is the author of the book ""Sex God: Exploring the Endless Connections Between Sexuality and Spirituality""?",Rob Bell,book-author,author-of-book
"Who wrote the book ""The Fermata""?",Nicholson Baker,book-author,who-wrote-book
"Who wrote the book ""Changed Into His Likeness""?",Watchman Nee,book-author,who-wrote-book
"Who wrote the book ""Suzanne's Diary for Nicholas""?",James Patterson,book-author,who-wrote-book
"Who wrote the book ""Odd and the Frost Giants""?",Neil Gaiman,book-author,who-wrote-book
"Who wrote the book ""Friday Night Lights: A Town, a Team, and a Dream""?",H.G. Bissinger,book-author,who-wrote-book
"Who is the author of the book ""Elite""?",Mercedes Lackey,book-author,author-of-book
"Who is the author of the book ""Hide and Seek""?",Ian Rankin,book-author,author-of-book
"Who wrote the book ""Oh, The Places You'll Go!""?",Dr. Seuss,book-author,who-wrote-book
"Who is the author of the book ""Josephine the Singer, or the Mouse Folk""?",Franz Kafka,book-author,author-of-book
"Who wrote the book ""Keto Clarity: Your Definitive Guide to the Benefits of a Low-Carb, High-Fat Diet""?",Jimmy Moore,book-author,who-wrote-book
"Who wrote the book ""The Water Room""?",Christopher Fowler,book-author,who-wrote-book
"Who is the author of the book ""Only Beloved""?",Mary Balogh,book-author,author-of-book
"Who is the author of the book ""Daily Habits: How To Win Your Day: Your Days Define Your Destiny""?",Prashanth Savanur,book-author,author-of-book
"Who is the author of the book ""Dragon and Soldier""?",Timothy Zahn,book-author,author-of-book
"Who is the author of the book ""Club Dead""?",Charlaine Harris,book-author,author-of-book
"Who is the author of the book ""Manalive""?",G.K. Chesterton,book-author,author-of-book
"Who wrote the book ""A Love to Call Her Own""?",Marilyn Pappano,book-author,who-wrote-book
"Who wrote the book ""Deliver Us from Evil""?",David Baldacci,book-author,who-wrote-book
"Who wrote the book ""De amor y sombra""?",Isabel Allende,book-author,who-wrote-book
"Who wrote the book ""Family First: Your Step-by-Step Plan for Creating a Phenomenal Family""?",Phillip C. McGraw,book-author,who-wrote-book
"Who wrote the book ""White""?",Bret Easton Ellis,book-author,who-wrote-book
"Who is the author of the book ""Nate Saint: Operation Auca""?",Nancy Drummond,book-author,author-of-book
"Who wrote the book ""Great novelists and their novels;: Essays on the ten greatest novels of the world, and the men and women who wrote them""?",W. Somerset Maugham,book-author,who-wrote-book
"Who wrote the book ""Jason""?",Laurell K. Hamilton,book-author,who-wrote-book
"Who wrote the book ""Eight or Nine Wise Words about Letter-Writing""?",Lewis Carroll,book-author,who-wrote-book
"Who is the author of the book ""History of the Jews""?",Paul Johnson,book-author,author-of-book
"Who wrote the book ""The Money Culture""?",Michael Lewis,book-author,who-wrote-book
"Who wrote the book ""The Pursuit of Marriage""?",Victoria Alexander,book-author,who-wrote-book
"Who is the author of the book ""Blossom Street Brides""?",Debbie Macomber,book-author,author-of-book
"Who is the author of the book ""Motown: Music, Money, Sex, and Power""?",Gerald Posner,book-author,author-of-book
"Who wrote the book ""UNDER THE VOLCANO""?",Malcolm Lowry,book-author,who-wrote-book
"Who is the author of the book ""The Case for Trump""?",Victor Davis Hanson,book-author,author-of-book
"Who wrote the book ""1776""?",David McCullough,book-author,who-wrote-book
"Who wrote the book ""A Year in Provence""?",Peter Mayle,book-author,who-wrote-book
"Who is the author of the book ""The Annotated Alice: The Definitive Edition""?",Lewis Carroll,book-author,author-of-book
"Who wrote the book ""The Ragged Trousered Philanthropists""?",Robert Tressell,book-author,who-wrote-book
"Who wrote the book ""Time to Murder and Create""?",Lawrence Block,book-author,who-wrote-book
"Who wrote the book ""The Great American Novel""?",Philip Roth,book-author,who-wrote-book
"Who wrote the book ""Code Name Cassandra""?",Meg Cabot,book-author,who-wrote-book
"Who is the author of the book ""Babysitter's Club Collection (Books 1-4)""?",Ann M. Martin,book-author,author-of-book
"Who wrote the book ""South of the Border, West of the Sun""?",Haruki Murakami,book-author,who-wrote-book
"Who wrote the book ""NIV/The Message Parallel Bible""?",Anonymous,book-author,who-wrote-book
"Who wrote the book ""Introducing Philosophy Through Pop Culture: From Socrates to South Park, Hume to House""?",William Irwin,book-author,who-wrote-book
"Who wrote the book ""Masterly Batting: 100 Great Test Innings""?",David Frith,book-author,who-wrote-book
"Who is the author of the book ""Trick or Treatment: The Undeniable Facts about Alternative Medicine""?",Simon Singh,book-author,author-of-book
"Who wrote the book ""Running Barefoot""?",Amy Harmon,book-author,who-wrote-book
"Who is the author of the book ""The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus""?",Richard Preston,book-author,author-of-book
"Who wrote the book ""The Snow Spider""?",Jenny Nimmo,book-author,who-wrote-book
"Who wrote the book ""Hellhole""?",Brian Herbert,book-author,who-wrote-book
"Who is the author of the book ""Psychology and the Occult""?",C.G. Jung,book-author,author-of-book
"Who wrote the book ""Crunch Time""?",Diane Mott Davidson,book-author,who-wrote-book
"Who is the author of the book ""To Green Angel Tower, Part 2""?",Tad Williams,book-author,author-of-book
"Who is the author of the book ""ACCESS DENIED For Reasons Of National Security: Documented Journey From CIA Mind Control Slave To U.S. Government Whistleblower""?",Cathy O'Brien,book-author,author-of-book
"Who is the author of the book ""Act Natural: A Cultural History of Misadventures in Parenting""?",Jennifer Traig,book-author,author-of-book
"Who is the author of the book ""Year of Yes: How to Dance It Out, Stand In the Sun and Be Your Own Person""?",Shonda Rhimes,book-author,author-of-book
"Who wrote the book ""Coyote's Mate""?",Lora Leigh,book-author,who-wrote-book
"Who wrote the book ""Cold-Hearted Rake""?",Lisa Kleypas,book-author,who-wrote-book
"Who is the author of the book ""Her Last Goodbye""?",Melinda Leigh,book-author,author-of-book
"Who is the author of the book ""How to Cure a Fanatic""?",Amos Oz,book-author,author-of-book
"Who is the author of the book ""The Hollow Men""?",T.S. Eliot,book-author,author-of-book
"Who is the author of the book ""Bob und wie er die Welt sieht: Neue Abenteuer mit dem Streuner""?",James Bowen,book-author,author-of-book
"Who wrote the book ""A Scandal in Bohemia (Adventure)""?",Sir Arthur Conan Doyle,book-author,who-wrote-book
"Who wrote the book ""The Fifth Column and Four Stories of the Spanish Civil War""?",Ernest Hemingway,book-author,who-wrote-book
"Who is the author of the book ""Prodigal Son""?",Danielle Steel,book-author,author-of-book
"Who is the author of the book ""El tango de la Guardia Vieja""?",Arturo Pérez-Reverte,book-author,author-of-book
"Who is the author of the book ""Henry V""?",Shakespeare William,book-author,author-of-book
"Who is the author of the book ""Love Show""?",Audrey Bell,book-author,author-of-book
"Who wrote the book ""Hiroshima Mon Amour""?",Marguerite Duras,book-author,who-wrote-book
"Who is the author of the book ""Oracle Bones: A Journey Between China's Past and Present""?",Peter Hessler,book-author,author-of-book
"Who wrote the book ""Electric Universe: How Electricity Switched on the Modern World""?",David Bodanis,book-author,who-wrote-book
"Who wrote the book ""Broken Knight""?",L.J. Shen,book-author,who-wrote-book
"Who wrote the book ""The Case of the Horrified Heirs""?",Erle Stanley Gardner,book-author,who-wrote-book
"Who wrote the book ""Knulp""?",Hermann Hesse,book-author,who-wrote-book
"Who is the author of the book ""Facts Concerning The Late Arthur Jermyn and his Family""?",H.P. Lovecraft,book-author,author-of-book
"Who wrote the book ""Forty Stories""?",Donald Barthelme,book-author,who-wrote-book
"Who wrote the book ""The Complete Anas of Thomas Jefferson""?",Thomas Jefferson,book-author,who-wrote-book
"Who wrote the book ""The End of Eternity""?",Isaac Asimov,book-author,who-wrote-book
"Who wrote the book ""Easy Pickings""?",C.E. Murphy,book-author,who-wrote-book
"Who wrote the book ""Woman and Nature: The Roaring Inside Her""?",Susan Griffin,book-author,who-wrote-book
"Who is the author of the book ""Breaking the Idols of Your Heart: How to Navigate the Temptations of Life""?",Dan B. Allender,book-author,author-of-book
"Who is the author of the book ""Moral Politics: How Liberals and Conservatives Think, Third Edition""?",George Lakoff,book-author,author-of-book
"Who wrote the book ""Songs""?",Bruce Springsteen,book-author,who-wrote-book
"Who wrote the book ""Paul: A Man of Grace and Grit""?",Charles R. Swindoll,book-author,who-wrote-book
"Who is the author of the book ""Your Blues Ain't Like Mine""?",Bebe Moore Campbell,book-author,author-of-book
