question,answers
"Who is the author of the book ""Because of Winn-Dixie""?",Kate DiCamillo
"Who is the author of the book ""Stranded with a Billionaire""?",Jessica Clare
"Who is the author of the book ""The Sheik and the Bought Bride""?",Susan Mallery
"Who is the author of the book ""Brothers, We Are Not Professionals: A Plea to Pastors for Radical Ministry""?",John Piper
"Who is the author of the book ""When the Snow Fell""?",Henning Mankell
"Who is the author of the book ""The Story of Don Quixote""?",Cervantes Saavedra Miguel de
"Who is the author of the book ""Hannah's List""?",Debbie Macomber
"Who is the author of the book ""Hospital Sketches""?",Louisa May Alcott
"Who is the author of the book ""Pavilion of Women""?",Pearl S. Buck
"Who is the author of the book ""Armageddon""?",Leon Uris
"Who is the author of the book ""The Social Sex: A History of Female Friendship""?",Marilyn Yalom
"Who is the author of the book ""Infamous""?",Cecily von Ziegesar
"Who is the author of the book ""A Clockwork Orange""?",Anthony Burgess
"Who is the author of the book ""The Devil's Chessboard: Allen Dulles and the Rise of America's Secret Government""?",David Talbot
"Who is the author of the book ""Flaubert's Parrot""?",Julian Barnes
"Who is the author of the book ""Paris""?",Edward Rutherfurd
"Who is the author of the book ""Henry VIII""?",William Shakespeare
"Who is the author of the book ""A Discovery of Witches""?",Deborah Harkness
"Who is the author of the book ""Collected Shorter Plays""?",Samuel Beckett
"Who is the author of the book ""Experience the Impossible: Simple Ways to Unleash Heaven's Power on Earth""?",Bill Johnson
"Who is the author of the book ""Once Upon a Time""?",Francine Pascal
"Who is the author of the book ""The Footprints of God: A Novel""?",Greg Iles
"Who is the author of the book ""The Sagan Diary""?",John Scalzi
"Who is the author of the book ""Light""?",M. John Harrison
"Who is the author of the book ""V for Vendetta, Vol. III of X""?",Alan Moore
"Who is the author of the book ""Across the Wall: A Tale of the Abhorsen and Other Stories""?",Garth Nix
"Who is the author of the book ""Carry On""?",Rainbow Rowell
"Who is the author of the book ""Imperfect Birds""?",Anne Lamott
"Who is the author of the book ""Enchantments""?",Kathryn Harrison
"Who is the author of the book ""Fullmetal Alchemist""?",Hiromu Arakawa
"Who is the author of the book ""Jonathan Livingston Seagull: A story""?",Richard Bach
"Who is the author of the book ""Dance of the Happy Shades""?",Alice Munro
"Who is the author of the book ""The Work of Christ: What the Events of Jesus' Life Mean for You""?",R.C. Sproul
"Who is the author of the book ""The Value of X""?",Poppy Z. Brite
"Who is the author of the book ""My Nine Lives: Chapters of a Possible Past""?",Ruth Prawer Jhabvala
"Who is the author of the book ""The Best Horror of the Year: 2""?",Ellen Datlow
"Who is the author of the book ""William Shakespeare""?",Victor Hugo
"Who is the author of the book ""The Goddess Rules""?",Clare Naylor
"Who is the author of the book ""Who Will Cry When You Die?: Life Lessons From The Monk Who Sold His Ferrari""?",Robin S. Sharma
"Who is the author of the book ""Gone For Soldiers""?",Jeff Shaara
"Who is the author of the book ""Poseidon's Arrow""?",Clive Cussler
"Who is the author of the book ""Surprised by Suffering""?",R.C. Sproul
"Who is the author of the book ""Wir Philologen - Friedrich Nietzsche: Wir Philologen Friedrich Nietzsche Volltext""?",Friedrich Wilhelm Nietzsche
"Who is the author of the book ""Wild Ride""?",Jennifer Crusie
"Who is the author of the book ""No Ordinary Love""?",Mary Balogh
"Who is the author of the book ""Men in the Off Hours""?",Anne Carson
"Who is the author of the book ""No In Between""?",Lisa Renee Jones
"Who is the author of the book ""Vingt mille lieues sous les mers : tome 2""?",Jules Verne
"Who is the author of the book ""The Fry Chronicles""?",Stephen Fry
"Who is the author of the book ""This Storm""?",James Ellroy
"Who is the author of the book ""Underdogs""?",Markus Zusak
"Who is the author of the book ""Onward: Cultivating Emotional Resilience in Educators""?",Elena Aguilar
"Who is the author of the book ""Throwing the Elephant""?",Stanley Bing
"Who is the author of the book ""The Bermudez Triangle""?",Maureen Johnson
"Who is the author of the book ""Sherlock Holmes""?",Arthur Conan Doyle
"Who is the author of the book ""The Complete Works of Ralph Waldo Emerson & Henry David Thoreau""?",Ralph Waldo Emerson
"Who is the author of the book ""How to Be a Heroine: Or, What I've Learned from Reading too Much""?",Samantha Ellis
"Who is the author of the book ""Engineering Infinity""?",Charles Stross
"Who is the author of the book ""The Elfstones of Shannara""?",Terry Brooks
"Who is the author of the book ""Woman Hater""?",Diana Palmer
"Who is the author of the book ""The Great Escape: Health, Wealth, and the Origins of Inequality""?",Angus Deaton
"Who is the author of the book ""A Walk in Wolf Wood""?",Mary Stewart
"Who is the author of the book ""Major Trends in Jewish Mysticism""?",Gershom Scholem
"Who is the author of the book ""The Intellectual Origins of the European Reformation""?",Alister E. McGrath
"Who is the author of the book ""The Kiss""?",Danielle Steel
"Who is the author of the book ""The Open Boat and Other Stories""?",Stephen Crane
"Who is the author of the book ""Leaving""?",Karen Kingsbury
"Who is the author of the book ""City of Golden Shadow""?",Tad Williams
"Who is the author of the book ""United States of Banana""?",Giannina Braschi
"Who is the author of the book ""No Is Not Enough: Resisting Trump’s Shock Politics and Winning the World We Need""?",Naomi Klein
"Who is the author of the book ""Total Recall""?",Philip K. Dick
"Who is the author of the book ""Roger's Profanisaurus: The Magna Farta.""?",VIZ
"Who is the author of the book ""Maigret in New York: Inspector Maigret #27""?",Georges Simenon
"Who is the author of the book ""Sidney Sheldon's The Tides of Memory""?",Sidney Sheldon
"Who is the author of the book ""Ruth: Under the Wings of God""?",John Piper
"Who is the author of the book ""Go Pro - 7 Steps to Becoming a Network Marketing Professional""?",Eric Worre
"Who is the author of the book ""Everybody's Fool""?",Richard Russo
"Who is the author of the book ""The Wrong Highlander""?",Lynsay Sands
"Who is the author of the book ""Of Human Freedom""?",Epictetus
"Who is the author of the book ""Until the End""?",Christopher Pike
"Who is the author of the book ""Don't Look Back""?",Jennifer L. Armentrout
"Who is the author of the book ""The Quest""?",Nelson DeMille
"Who is the author of the book ""Get Me Out of Here: My Recovery from Borderline Personality Disorder""?",Rachel Reiland
"Who is the author of the book ""Twelve Ordinary Men""?",John F. MacArthur Jr.
"Who is the author of the book ""Yon Ill Wind""?",Piers Anthony
"Who is the author of the book ""The Hunt for Red October""?",Tom Clancy
"Who is the author of the book ""Written in My Own Heart's Blood""?",Diana Gabaldon
"Who is the author of the book ""Choose Love Book of Prayers""?",Stormie Omartian
"Who is the author of the book ""The Fourth Durango""?",Ross Thomas
"Who is the author of the book ""The Spider's War""?",Daniel Abraham
"Who is the author of the book ""The Frightful First World War""?",Terry Deary
"Who is the author of the book ""Traité sur la tolérance, à l'occasion de la mort de Jean Calas""?",Voltaire
"Who is the author of the book ""Alec Baldwin Doesn't Love Me and Other Trials from My Queer Life""?",Michael Thomas Ford
"Who is the author of the book ""Dreaming in French: The Paris Years of Jacqueline Bouvier Kennedy, Susan Sontag, and Angela Davis""?",Alice Kaplan
"Who is the author of the book ""Oz: The Complete Collection""?",L. Frank Baum
"Who is the author of the book ""Number9Dream""?",David Mitchell
"Who is the author of the book ""The Duchess of Malfi""?",John Webster
"Who is the author of the book ""An Event in Autumn: A Kurt Wallander Mystery""?",Henning Mankell
"Who is the author of the book ""Was the Cat in the Hat Black?: The Hidden Racism of Children's Literature, and the Need for Diverse Books""?",Philip Nel
"Who is the author of the book ""Las leyes de la frontera""?",Javier Cercas
"Who is the author of the book ""Demonic: How the Liberal Mob is Endangering America""?",Ann Coulter
"Who is the author of the book ""In the Wind""?",Bijou Hunter
"Who is the author of the book ""The Possessed""?",Fyodor Dostoyevsky
"Who is the author of the book ""Rick Bet Blank""?",Jarod Kintz
"Who is the author of the book ""Miramar""?",Naguib Mahfouz
"Who is the author of the book ""From Cliche To Archetype""?",Marshall McLuhan
"Who is the author of the book ""The Little Paris Bookshop""?",Nina George
"Who is the author of the book ""The Love of the Last Tycoon""?",F. Scott Fitzgerald
"Who is the author of the book ""How They Met, and Other Stories""?",David Levithan
"Who is the author of the book ""The Assassination of Julius Caesar: A People's History of Ancient Rome""?",Michael Parenti
"Who is the author of the book ""Moonlit Nights""?",Jacob Parr
"Who is the author of the book ""Love Out Loud: 365 Devotions for Loving God, Loving Yourself and Loving Others""?",Joyce Meyer
"Who is the author of the book ""The Blue Girl""?",Charles De Lint
"Who is the author of the book ""The Respectable Prostitute/Lucifer and the Lord/In Camera""?",Jean-Paul Sartre
"Who is the author of the book ""Letters of Elizabeth Barrett Browning to Mary Russell Mitford, 1836-1854""?",Elizabeth Barrett Browning
"Who is the author of the book ""The Novel: An Alternative History: Beginnings to 1600""?",Steven Moore
"Who is the author of the book ""Otra vez el mar""?",Reinaldo Arenas
"Who is the author of the book ""The Last Continent""?",Terry Pratchett
"Who is the author of the book ""The Metaphysical Club""?",Louis Menand
"Who is the author of the book ""The First Four Years""?",Laura Ingalls Wilder
"Who is the author of the book ""Endangered Species""?",Gene Wolfe
"Who is the author of the book ""On Becoming a Leader Revised Edition""?",Warren G. Bennis
"Who is the author of the book ""Kissing Fish: christianity for people who don't like christianity""?",Roger Wolsey
"Who is the author of the book ""The Half Has Never Been Told: Slavery and the Making of American Capitalism""?",Edward E. Baptist
"Who is the author of the book ""Julieta: Three Stories That Inspired the Movie""?",Alice Munro
"Who is the author of the book ""Why Orwell Matters""?",Christopher Hitchens
"Who is the author of the book ""Fanshawe""?",Nathaniel Hawthorne
"Who is the author of the book ""Tender Triumph""?",Judith McNaught
"Who is the author of the book ""Love Never Dies""?",Christina Dodd
"Who is the author of the book ""Magellan""?",Stefan Zweig
"Who is the author of the book ""Operation Goodwood""?",Sara Sheridan
"Who is the author of the book ""Holy Skirts: A Novel of a Flamboyant Woman Who Risked All for Art""?",Rene Steinke
"Who is the author of the book ""Sex God: Exploring the Endless Connections Between Sexuality and Spirituality""?",Rob Bell
"Who is the author of the book ""The Fermata""?",Nicholson Baker
"Who is the author of the book ""Changed Into His Likeness""?",Watchman Nee
"Who is the author of the book ""Suzanne's Diary for Nicholas""?",James Patterson
"Who is the author of the book ""Odd and the Frost Giants""?",Neil Gaiman
"Who is the author of the book ""Friday Night Lights: A Town, a Team, and a Dream""?",H.G. Bissinger
"Who is the author of the book ""Elite""?",Mercedes Lackey
"Who is the author of the book ""Hide and Seek""?",Ian Rankin
"Who is the author of the book ""Oh, The Places You'll Go!""?",Dr. Seuss
"Who is the author of the book ""Josephine the Singer, or the Mouse Folk""?",Franz Kafka
"Who is the author of the book ""Keto Clarity: Your Definitive Guide to the Benefits of a Low-Carb, High-Fat Diet""?",Jimmy Moore
"Who is the author of the book ""The Water Room""?",Christopher Fowler
"Who is the author of the book ""Only Beloved""?",Mary Balogh
"Who is the author of the book ""Daily Habits: How To Win Your Day: Your Days Define Your Destiny""?",Prashanth Savanur
"Who is the author of the book ""Dragon and Soldier""?",Timothy Zahn
"Who is the author of the book ""Club Dead""?",Charlaine Harris
"Who is the author of the book ""Manalive""?",G.K. Chesterton
"Who is the author of the book ""A Love to Call Her Own""?",Marilyn Pappano
"Who is the author of the book ""Deliver Us from Evil""?",David Baldacci
"Who is the author of the book ""De amor y sombra""?",Isabel Allende
"Who is the author of the book ""Family First: Your Step-by-Step Plan for Creating a Phenomenal Family""?",Phillip C. McGraw
"Who is the author of the book ""White""?",Bret Easton Ellis
"Who is the author of the book ""Nate Saint: Operation Auca""?",Nancy Drummond
"Who is the author of the book ""Great novelists and their novels;: Essays on the ten greatest novels of the world, and the men and women who wrote them""?",W. Somerset Maugham
"Who is the author of the book ""Jason""?",Laurell K. Hamilton
"Who is the author of the book ""Eight or Nine Wise Words about Letter-Writing""?",Lewis Carroll
"Who is the author of the book ""History of the Jews""?",Paul Johnson
"Who is the author of the book ""The Money Culture""?",Michael Lewis
"Who is the author of the book ""The Pursuit of Marriage""?",Victoria Alexander
"Who is the author of the book ""Blossom Street Brides""?",Debbie Macomber
"Who is the author of the book ""Motown: Music, Money, Sex, and Power""?",Gerald Posner
"Who is the author of the book ""UNDER THE VOLCANO""?",Malcolm Lowry
"Who is the author of the book ""The Case for Trump""?",Victor Davis Hanson
"Who is the author of the book ""1776""?",David McCullough
"Who is the author of the book ""A Year in Provence""?",Peter Mayle
"Who is the author of the book ""The Annotated Alice: The Definitive Edition""?",Lewis Carroll
"Who is the author of the book ""The Ragged Trousered Philanthropists""?",Robert Tressell
"Who is the author of the book ""Time to Murder and Create""?",Lawrence Block
"Who is the author of the book ""The Great American Novel""?",Philip Roth
"Who is the author of the book ""Code Name Cassandra""?",Meg Cabot
"Who is the author of the book ""Babysitter's Club Collection (Books 1-4)""?",Ann M. Martin
"Who is the author of the book ""South of the Border, West of the Sun""?",Haruki Murakami
"Who is the author of the book ""NIV/The Message Parallel Bible""?",Anonymous
"Who is the author of the book ""Introducing Philosophy Through Pop Culture: From Socrates to South Park, Hume to House""?",William Irwin
"Who is the author of the book ""Masterly Batting: 100 Great Test Innings""?",David Frith
"Who is the author of the book ""Trick or Treatment: The Undeniable Facts about Alternative Medicine""?",Simon Singh
"Who is the author of the book ""Running Barefoot""?",Amy Harmon
"Who is the author of the book ""The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus""?",Richard Preston
"Who is the author of the book ""The Snow Spider""?",Jenny Nimmo
"Who is the author of the book ""Hellhole""?",Brian Herbert
"Who is the author of the book ""Psychology and the Occult""?",C.G. Jung
"Who is the author of the book ""Crunch Time""?",Diane Mott Davidson
"Who is the author of the book ""To Green Angel Tower, Part 2""?",Tad Williams
"Who is the author of the book ""ACCESS DENIED For Reasons Of National Security: Documented Journey From CIA Mind Control Slave To U.S. Government Whistleblower""?",Cathy O'Brien
"Who is the author of the book ""Act Natural: A Cultural History of Misadventures in Parenting""?",Jennifer Traig
"Who is the author of the book ""Year of Yes: How to Dance It Out, Stand In the Sun and Be Your Own Person""?",Shonda Rhimes
"Who is the author of the book ""Coyote's Mate""?",Lora Leigh
"Who is the author of the book ""Cold-Hearted Rake""?",Lisa Kleypas
"Who is the author of the book ""Her Last Goodbye""?",Melinda Leigh
"Who is the author of the book ""How to Cure a Fanatic""?",Amos Oz
"Who is the author of the book ""The Hollow Men""?",T.S. Eliot
"Who is the author of the book ""Bob und wie er die Welt sieht: Neue Abenteuer mit dem Streuner""?",James Bowen
"Who is the author of the book ""A Scandal in Bohemia (Adventure)""?",Sir Arthur Conan Doyle
"Who is the author of the book ""The Fifth Column and Four Stories of the Spanish Civil War""?",Ernest Hemingway
"Who is the author of the book ""Prodigal Son""?",Danielle Steel
"Who is the author of the book ""El tango de la Guardia Vieja""?",Arturo Pérez-Reverte
"Who is the author of the book ""Henry V""?",Shakespeare William
"Who is the author of the book ""Love Show""?",Audrey Bell
"Who is the author of the book ""Hiroshima Mon Amour""?",Marguerite Duras
"Who is the author of the book ""Oracle Bones: A Journey Between China's Past and Present""?",Peter Hessler
"Who is the author of the book ""Electric Universe: How Electricity Switched on the Modern World""?",David Bodanis
"Who is the author of the book ""Broken Knight""?",L.J. Shen
"Who is the author of the book ""The Case of the Horrified Heirs""?",Erle Stanley Gardner
"Who is the author of the book ""Knulp""?",Hermann Hesse
"Who is the author of the book ""Facts Concerning The Late Arthur Jermyn and his Family""?",H.P. Lovecraft
"Who is the author of the book ""Forty Stories""?",Donald Barthelme
"Who is the author of the book ""The Complete Anas of Thomas Jefferson""?",Thomas Jefferson
"Who is the author of the book ""The End of Eternity""?",Isaac Asimov
"Who is the author of the book ""Easy Pickings""?",C.E. Murphy
"Who is the author of the book ""Woman and Nature: The Roaring Inside Her""?",Susan Griffin
"Who is the author of the book ""Breaking the Idols of Your Heart: How to Navigate the Temptations of Life""?",Dan B. Allender
"Who is the author of the book ""Moral Politics: How Liberals and Conservatives Think, Third Edition""?",George Lakoff
"Who is the author of the book ""Songs""?",Bruce Springsteen
"Who is the author of the book ""Paul: A Man of Grace and Grit""?",Charles R. Swindoll
"Who is the author of the book ""Your Blues Ain't Like Mine""?",Bebe Moore Campbell
"Who is the author of the book ""No Time to Say Goodbye: A Memoir of a Life in Foster Care""?",John William Tuohy
"Who is the author of the book ""The Curious Incident Of The Dog In The Night Time""?",Mark Haddon
"Who is the author of the book ""The Obsession""?",Nora Roberts
"Who is the author of the book ""Leroy Ninker Saddles Up""?",Kate DiCamillo
"Who is the author of the book ""You Know Where to Find Me""?",Rachel Cohn
"Who is the author of the book ""Shadow Keeper""?",Christine Feehan
"Who is the author of the book ""Nemesis Games""?",James S.A. Corey
"Who is the author of the book ""The Date Fruit Elegies""?",John Olivares Espinoza
"Who is the author of the book ""Books of the Western Canon: 797 Great Books by 204 Essential Authors""?",Harold Bloom
"Who is the author of the book ""The Golf Omnibus""?",P.G. Wodehouse
"Who is the author of the book ""Cosmic Horizons: Astronomy at the Cutting Edge""?",Neil deGrasse Tyson
"Who is the author of the book ""Family Album""?",Danielle Steel
"Who is the author of the book ""Unashamed""?",Lecrae Moore
"Who is the author of the book ""The Best Science Fiction and Fantasy of the Year, Volume 6""?",Libba Bray
"Who is the author of the book ""Men on Men 5: Best New Gay Fiction""?",David Rakoff
"Who is the author of the book ""Murder Mysteries""?",Neil Gaiman
"Who is the author of the book ""History of the Decline and Fall of the Roman Empire, Vol. 1""?",Edward Gibbon
"Who is the author of the book ""USA""?",Terry Deary
"Who is the author of the book ""Risked""?",Margaret Peterson Haddix
"Who is the author of the book ""Radical Freedom: A Guide to Authentic Living""?",Joan D. Chittister
"Who is the author of the book ""Jesus, Interrupted: Revealing the Hidden Contradictions in the Bible & Why We Don't Know About Them""?",Bart D. Ehrman
"Who is the author of the book ""Queen Margot, or Marguerite de Valois""?",Alexandre Dumas
"Who is the author of the book ""Food for Thought - 365 Christian Quotes to start your day with""?",Nicholas Appleyard
"Who is the author of the book ""My Invented Country: A Nostalgic Journey Through Chile""?",Isabel Allende
"Who is the author of the book ""The Confessions of Nat Turner""?",William Styron
"Who is the author of the book ""The Phoenix Endangered""?",Mercedes Lackey
"Who is the author of the book ""Purple Hibiscus""?",Chimamanda Ngozi Adichie
"Who is the author of the book ""Wild Magic""?",Tamora Pierce
"Who is the author of the book ""The Black Goddess and the Unseen Real: Our Uncommon Senses and Their Common Sense""?",Peter Redgrove
"Who is the author of the book ""The Haunted Mask II""?",R.L. Stine
"Who is the author of the book ""Mostly Harmless""?",Douglas Adams
"Who is the author of the book ""Mackenzie's Mountain""?",Linda Howard
"Who is the author of the book ""The Black Box""?",Michael Connelly
"Who is the author of the book ""Maine""?",J Courtney Sullivan
"Who is the author of the book ""En memoria de Paulina""?",Adolfo Bioy Casares
"Who is the author of the book ""Dagon et autres nouvelles de terreur""?",H.P. Lovecraft
"Who is the author of the book ""Walter Benjamin or Towards a Revolutionary Criticism""?",Terry Eagleton
"Who is the author of the book ""The Naughtiest Girl in the School""?",Enid Blyton
"Who is the author of the book ""A Question of Belief""?",Donna Leon
"Who is the author of the book ""Anne of Green Gables Boxed Set""?",L.M. Montgomery
"Who is the author of the book ""Shattered Bonds: The Color Of Child Welfare""?",Dorothy Roberts
"Who is the author of the book ""Ordeal by Innocence""?",Agatha Christie
"Who is the author of the book ""High Lonesome: Selected Stories, 1966-2006""?",Joyce Carol Oates
"Who is the author of the book ""The Attorney""?",Steve Martini
"Who is the author of the book ""Bleach, Volume 05""?",Tite Kubo
"Who is the author of the book ""Bloodhound""?",Tamora Pierce
"Who is the author of the book ""True Legend""?",Mike Lupica
"Who is the author of the book ""Be a People Person""?",John C. Maxwell
"Who is the author of the book ""The Impossible: A Story of Rats followed by Dianus and by The Oresteia""?",Georges Bataille
"Who is the author of the book ""The Passion""?",Jeanette Winterson
"Who is the author of the book ""Saving Faith""?",David Baldacci
"Who is the author of the book ""Player Piano""?",Kurt Vonnegut
"Who is the author of the book ""The Making of the English Working Class""?",E.P. Thompson
"Who is the author of the book ""Star Wars: The Clone Wars: No Prisoners""?",Karen Traviss
"Who is the author of the book ""Colombiano""?",Rusty Young
"Who is the author of the book ""Traitor to His Class: The Privileged Life and Radical Presidency of Franklin Delano Roosevelt""?",H.W. Brands
"Who is the author of the book ""Euclid's Window: The Story of Geometry from Parallel Lines to Hyperspace""?",Leonard Mlodinow
"Who is the author of the book ""Rhinoceros and Other Plays""?",Eugène Ionesco
"Who is the author of the book ""Leap""?",Terry Tempest Williams
"Who is the author of the book ""Dombey and Son""?",Charles Dickens
"Who is the author of the book ""Les Misérables: Volume Two""?",Victor Hugo
"Who is the author of the book ""True Light""?",Terri Blackstock
"Who is the author of the book ""Strange Girl""?",Christopher Pike
"Who is the author of the book ""The Freedom Maze""?",Delia Sherman
"Who is the author of the book ""Flashman in the Great Game: A Novel""?",George MacDonald Fraser
"Who is the author of the book ""Population Control: How Corporate Owners Are Killing Us""?",Jim Marrs
"Who is the author of the book ""Perchance to Dream""?",Lisa Mantchev
"Who is the author of the book ""Circle of Gold""?",Diana Palmer
"Who is the author of the book ""Polar Bears""?",Mark Haddon
"Who is the author of the book ""Ride the Dark Trail""?",Louis L'Amour
"Who is the author of the book ""Momentos estelares de la humanidad: Catorce miniaturas históricas""?",Stefan Zweig
"Who is the author of the book ""Big Jack""?",J.D. Robb
"Who is the author of the book ""Lost Memory of Skin""?",Russell Banks
"Who is the author of the book ""A Fifty-Year Silence: Love, War, and a Ruined House in France""?",Miranda Richmond Mouillot
"Who is the author of the book ""Foundation's Edge""?",Isaac Asimov
"Who is the author of the book ""A Traveller in Romance: Uncollected Writings, 1901-1964""?",W. Somerset Maugham
"Who is the author of the book ""Dark Magic""?",Christine Feehan
"Who is the author of the book ""Guardian Demon""?",Meljean Brook
"Who is the author of the book ""Dream on""?",Sarah Mlynowski
"Who is the author of the book ""Bleach―ブリーチ― 41 [Burīchi 41]""?",Tite Kubo
"Who is the author of the book ""Kill Shot""?",Vince Flynn
"Who is the author of the book ""God's Debris: A Thought Experiment""?",Scott Adams
"Who is the author of the book ""Mockingbird Wish Me Luck""?",Charles Bukowski
"Who is the author of the book ""No Excuses!""?",Wayne W. Dyer
"Who is the author of the book ""Valiant: A Modern Tale of Faerie""?",Holly Black
"Who is the author of the book ""The Devil Finds Work""?",James Baldwin
"Who is the author of the book ""Courtesan""?",Diane Haeger
