question,answers,type
What is the baby of a/an Duck called?,duckling,Young
What do you call a group of Peccary?,squadron,Collective noun
What name is given to the offspring of a/an Wasp?,larva,Young
What do you call a group of Chinchilla?,colony,Collective noun
What do you call a group of Hedgehog?,array,Collective noun
What name is given to the offspring of a/an Viper?,hatchling,Young
What is the baby of a/an Gnat called?,larva,Young
What do you call a/an Emu’s young?,chick; hatchling,Young
What do you call a/an Dunlin’s young?,chick,Young
What is a group of Llama called?,flock; herd,Collective noun
How is a group of Starling referred to?,chattering; murmuration,Collective noun
What is the female Narwhal called?,cow,Female
What do you call a/an Cockroach’s young?,nymph,Young
How is a female Goat referred to?,doe; doeling; nanny,Female
What name is given to a group of Frog?,army,Collective noun
What name is given to the offspring of a/an Mouse?,pup,Young
What is the baby of a/an Cod called?,codling,Young
How is a group of Lobster referred to?,risk,Collective noun
How is a female Dog referred to?,bitch,Female
What is the young one of a/an Shark called?,cub; pup,Young
What is the female Gecko called?,dam,Female
What do you call a group of Kinkajou?,convergence; troop,Collective noun
How is a group of Cardinal referred to?,college; conclave; deeck; radiance; Vatican,Collective noun
How is a group of Platypus referred to?,paddle,Collective noun
What is the baby of a/an Crab called?,zoea,Young
What do you call a/an Cheetah’s young?,cub; kitten,Young
How is a group of Human referred to?,band; clan; crowd; family; group; horde; tribe,Collective noun
What do you call a/an Jay’s young?,chick,Young
How is a female Lark referred to?,hen,Female
What is the young one of a/an Tiger called?,cub; whelp,Young
What is a group of Spoonbill called?,bowl,Collective noun
What is a group of Oyster called?,bed,Collective noun
What is the young one of a/an Pig called?,farrow; piglet; shoat/shote,Young
What do you call a group of Bear?,sleuth; sloth,Collective noun
What is a group of Crow called?,murder,Collective noun
What name is given to a group of Cockroach?,intrusion,Collective noun
How is a female Whale referred to?,cow,Female
What do you call a group of Gnat?,cloud; horde; rabble; swarm,Collective noun
What is the female Crab called?,hen; jenny,Female
What is a group of Toad called?,knot,Collective noun
What name is given to the offspring of a/an Seal?,pup,Young
What is the young one of a/an Llama called?,cria,Young
What do you call a/an Wolf’s young?,cub; pup; puppy; whelp,Young
What do you call a/an Heron’s young?,chick,Young
What do you call a group of Badger?,cete; colony,Collective noun
What is the baby of a/an Bobcat called?,bobkitten,Young
How is a female Rhinoceros referred to?,cow,Female
What is the baby of a/an Newt called?,eft,Young
What name is given to a female Alligator?,cow,Female
What do you call a/an Oyster’s young?,spat,Young
What name is given to a female Bee?,queen; worker,Female
What name is given to a group of Starling?,chattering; murmuration,Collective noun
What is the baby of a/an Hyena called?,cub,Young
What is a group of Pug called?,grumble,Collective noun
What is the young one of a/an Moose called?,calf,Young
What is the young one of a/an Mouse called?,pup,Young
What do you call a female Turkey?,hen,Female
What is the young one of a/an Panther called?,cub,Young
What name is given to a female Hawk?,hen,Female
What is the baby of a/an Ferret called?,kit,Young
What name is given to a group of Mosquito?,cloud; scourge; swarm,Collective noun
What is the female Deer called?,doe; hind; cow,Female
How is a group of Narwhal referred to?,pod; herd; school; gam; grind,Collective noun
How is a female Giant; panda referred to?,sow,Female
What is the young one of a/an Oyster called?,spat,Young
What do you call a female Pig?,gilt; sow,Female
What is the female Chinchilla called?,sow; velvet,Female
What name is given to a female Hedgehog?,sow,Female
What is the young one of a/an Falcon called?,eyass/eyas,Young
What is the baby of a/an Nightingale called?,chick,Young
What name is given to the offspring of a/an Elk/wapiti?,calf,Young
What is a group of Seal called?,herd; pod; rookery,Collective noun
What name is given to a group of Owl?,parliament,Collective noun
How is a female Pug referred to?,bitch,Female
What name is given to a group of Quail?,bevy,Collective noun
What is a group of Boar/wild; pig called?,herd; singular; sounder,Collective noun
What do you call a/an Armadillo’s young?,baby; pup,Young
How is a female Gnu referred to?,cow,Female
What name is given to the offspring of a/an Chough?,chick,Young
What is the baby of a/an Mosquito called?,nymph; tumbler; wriggler,Young
What name is given to a female Turkey?,hen,Female
What do you call a group of Beetle?,swarm,Collective noun
What do you call a female Antelope?,doe,Female
What name is given to the offspring of a/an Squid?,paralarva,Young
What is the young one of a/an Viper called?,hatchling,Young
What do you call a/an Pig’s young?,farrow; piglet; shoat/shote,Young
How is a female Hornet referred to?,queen,Female
What is a group of Polar; bear called?,aurora; celebration; pack,Collective noun
What is the baby of a/an Horse called?,colt; filly; foal; weanling; yearling,Young
What do you call a/an Kinkajou’s young?,kit; pup,Young
How is a female Lyrebird referred to?,hen,Female
What do you call a female Guinea; fowl?,hen,Female
What is the young one of a/an Salmon called?,parr,Young
What is the young one of a/an Heron called?,chick,Young
What is the young one of a/an Stingray called?,pup,Young
What is the young one of a/an Giraffe called?,calf,Young
How is a female Panther referred to?,pantheress,Female
What do you call a/an Lemur’s young?,infant,Young
What do you call a group of Cobra?,quiver,Collective noun
What is a group of Bat called?,camp; cloud; colony; flock,Collective noun
What is the young one of a/an Finch called?,chick,Young
What do you call a/an Narwhal’s young?,calf,Young
What do you call a female Lobster?,hen,Female
What name is given to a female Salmon?,hen; jen,Female
What is the young one of a/an Crane called?,chick; colt,Young
What is the baby of a/an Giant; panda called?,cub,Young
What is the baby of a/an Wombat called?,joey,Young
What do you call a group of Cormorant?,flight; gulp,Collective noun
What name is given to the offspring of a/an Wallaby?,joey,Young
What do you call a group of Termite?,colony; nest; swarm,Collective noun
What do you call a/an Termite’s young?,larva,Young
How is a group of Ferret referred to?,business; busyness,Collective noun
What do you call a group of Octopus?,shoal,Collective noun
What do you call a group of Fly?,business; cloud; swarm,Collective noun
What do you call a/an Kingbird’s young?,chick,Young
What is a group of Cobra called?,quiver,Collective noun
What do you call a group of Platypus?,paddle,Collective noun
What is the young one of a/an Dog called?,pup; puppy; whelp,Young
What is a group of Chinchilla called?,colony,Collective noun
What is the baby of a/an Jaguar called?,cub,Young
What is the baby of a/an Finch called?,chick,Young
What do you call a group of Dogfish?,troop,Collective noun
What name is given to a female Wildebeest?,cow,Female
What is the baby of a/an Wolf called?,cub; pup; puppy; whelp,Young
What is the baby of a/an Echidna called?,puggle,Young
What is a group of Rook called?,building; parliament,Collective noun
What do you call a female Panther?,pantheress,Female
What is a group of Wombat called?,wisdom,Collective noun
What name is given to a group of Snail?,escargatoire; rout; walk,Collective noun
What is a group of Gerbil called?,horde,Collective noun
What do you call a/an Seal’s young?,pup,Young
What is the baby of a/an Moth called?,caterpillar; chrysalis; larva; pupa,Young
What do you call a group of Fox?,leash; skulk; earth,Collective noun
What is a group of Sandpiper called?,fling,Collective noun
How is a group of Porcupine referred to?,prickle,Collective noun
How is a female Giraffe referred to?,cow,Female
How is a group of Cobra referred to?,quiver,Collective noun
What is a group of Gnu called?,herd; implausibility,Collective noun
What is the baby of a/an Raccoon called?,cub; kit,Young
What is the young one of a/an Thrush called?,chick,Young
What is a group of Camel called?,caravan; flock; herd; train,Collective noun
What name is given to a group of Ape?,band family group shrewdness troop; group,Collective noun
What name is given to a group of Beetle?,swarm,Collective noun
How is a female Wallaby referred to?,jill,Female
What name is given to the offspring of a/an Raven?,chick,Young
How is a group of Dogfish referred to?,troop,Collective noun
What is the female Swan called?,pen,Female
What is the young one of a/an Rat called?,kitten; pup,Young
What name is given to a group of Cormorant?,flight; gulp,Collective noun
What name is given to the offspring of a/an Gnat?,larva,Young
What do you call a female Deer?,doe; hind; cow,Female
What is a group of Dogfish called?,troop,Collective noun
What do you call a group of Skunk?,surfeit,Collective noun
What do you call a group of Herring?,army; glean; shoal,Collective noun
What name is given to a female Mole?,sow,Female
What is a group of Swan called?,bevy; flock; lamentation; wedge,Collective noun
What is the young one of a/an Giant; panda called?,cub,Young
What name is given to the offspring of a/an Albatross?,chick,Young
How is a group of Mongoose referred to?,committee; delegation; troop,Collective noun
What name is given to a female Seal?,cow,Female
What is the female Koala called?,doe,Female
What is the female Seahorse called?,seamare,Female
What is a group of Sardine called?,family,Collective noun
What is the young one of a/an Hippopotamus called?,calf,Young
What do you call a group of Sardine?,family,Collective noun
How is a group of Goosander referred to?,dopping,Collective noun
What do you call a/an Binturong’s young?,binlet,Young
What name is given to a group of Wallaby?,mob,Collective noun
What is the female Prairie; dog called?,sow,Female
What do you call a/an Locust’s young?,nymph,Young
What is the baby of a/an Starfish called?,bipinnaria; brachiolaria,Young
What do you call a group of Lobster?,risk,Collective noun
What do you call a group of Frog?,army,Collective noun
What is a group of Weasel called?,gang; sneak,Collective noun
What is the young one of a/an Narwhal called?,calf,Young
What do you call a group of Rook?,building; parliament,Collective noun
What name is given to the offspring of a/an Heron?,chick,Young
What do you call a group of Guinea; pig?,herd,Collective noun
How is a female Tiger referred to?,tigress,Female
What do you call a female Duck?,duck; hen,Female
What name is given to the offspring of a/an Oyster?,spat,Young
What name is given to a group of Oyster?,bed,Collective noun
What is the young one of a/an Bobcat called?,bobkitten,Young
How is a female Chinchilla referred to?,sow; velvet,Female
What is the baby of a/an Wasp called?,larva,Young
What name is given to a group of Dogfish?,troop,Collective noun
What is the baby of a/an Alpaca called?,cria,Young
What do you call a group of Lemur?,conspiracy,Collective noun
What name is given to a group of Human?,band; clan; crowd; family; group; horde; tribe,Collective noun
What name is given to the offspring of a/an Thrush?,chick,Young
What do you call a/an Otter’s young?,pup; whelp,Young
What is the young one of a/an Meerkat called?,meerkitten,Young
What name is given to the offspring of a/an Butterfly?,caterpillar; chrysalis; larva; pupa,Young
What is a group of Emu called?,mob,Collective noun
What do you call a/an Rabbit’s young?,bunny; kit; kitten; nestling,Young
What is the young one of a/an Spoonbill called?,chick,Young
What name is given to a group of Stingray?,fever,Collective noun
What do you call a group of Alpaca?,herd,Collective noun
What is the young one of a/an Rabbit called?,bunny; kit; kitten; nestling,Young
How is a group of Eagle referred to?,convocation,Collective noun
How is a group of Guanaco referred to?,herd,Collective noun
How is a group of Llama referred to?,flock; herd,Collective noun
How is a female Leopard referred to?,leopardess,Female
What is a group of Hedgehog called?,array,Collective noun
What is the young one of a/an Salamander called?,larva,Young
What name is given to the offspring of a/an Prairie; dog?,pup,Young
How is a group of Lemur referred to?,conspiracy,Collective noun
What do you call a/an Chinchilla’s young?,kit,Young
How is a female Mouse referred to?,doe,Female
What name is given to the offspring of a/an Pheasant?,chick,Young
What do you call a group of Grasshopper?,cloud; swarm,Collective noun
How is a group of Fox referred to?,leash; skulk; earth,Collective noun
What is the baby of a/an Binturong called?,binlet,Young
How is a group of Heron referred to?,flight; sedge; sege; siege,Collective noun
What name is given to the offspring of a/an Echidna?,puggle,Young
What do you call a group of Hare?,band; down; drove; flick; husk,Collective noun
What is a group of Crane called?,herd; sedge; sege; siege,Collective noun
What name is given to the offspring of a/an Gorilla?,infant,Young
What name is given to the offspring of a/an Starfish?,bipinnaria; brachiolaria,Young
What name is given to the offspring of a/an Moose?,calf,Young
What do you call a female Goat?,doe; doeling; nanny,Female
What name is given to a female Leopard?,leopardess,Female
What is a group of Peafowl called?,ostentation,Collective noun
How is a female Mallard referred to?,hen,Female
What do you call a/an Spider’s young?,spiderling,Young
What name is given to the offspring of a/an Emu?,chick; hatchling,Young
What name is given to a group of Heron?,flight; sedge; sege; siege,Collective noun
What do you call a/an Wombat’s young?,joey,Young
What is the baby of a/an Eel called?,leptocephalus; elver,Young
What is the baby of a/an Turkey called?,poult,Young
What is the female Heron called?,hen,Female
What is a group of Chough called?,chattering; clattering,Collective noun
What do you call a female Cat?,molly; queen,Female
What name is given to the offspring of a/an Narwhal?,calf,Young
What is the young one of a/an Zebra called?,colt; filly; foal,Young
How is a group of Camel referred to?,caravan; flock; herd; train,Collective noun
What is the young one of a/an Starfish called?,bipinnaria; brachiolaria,Young
What is the baby of a/an Baboon called?,infant,Young
What name is given to a group of Badger?,cete; colony,Collective noun
What name is given to a female Zebra?,mare,Female
What is the young one of a/an Cod called?,codling,Young
What name is given to the offspring of a/an Newt?,eft,Young
What name is given to a group of Swan?,bevy; flock; lamentation; wedge,Collective noun
What is the young one of a/an Ferret called?,kit,Young
What is the baby of a/an Skunk called?,kit,Young
What do you call a group of Mallard?,sord; suit,Collective noun
What name is given to the offspring of a/an Eagle?,eaglet; fledgling,Young
What do you call a/an Cat’s young?,kit; kitten,Young
How is a group of Sardine referred to?,family,Collective noun
What is the baby of a/an Chicken called?,chick,Young
What is the baby of a/an Pelican called?,chick; nestling,Young
What name is given to a group of Armadillo?,protection,Collective noun
What is the baby of a/an Pigeon called?,squab; squeaker,Young
What is a group of Ladybug called?,loveliness,Collective noun
What do you call a female Quail?,hen,Female
What do you call a/an Echidna’s young?,puggle,Young
What is the baby of a/an Leopard called?,cub,Young
What name is given to a group of Dove?,arc; cote; dole; dule; flight; piteousness; pitying,Collective noun
What name is given to the offspring of a/an Jaguar?,cub,Young
What name is given to the offspring of a/an Jay?,chick,Young
What is the young one of a/an Newt called?,eft,Young
What name is given to a group of Ant?,army; bike; colony; bivouac; nest; swarm,Collective noun
How is a group of Sheep referred to?,flock; fold; herd,Collective noun
What name is given to the offspring of a/an Bat?,pup,Young
How is a female Koala referred to?,doe,Female
How is a female Weasel referred to?,bitch; doe; jill,Female
What is a group of Chimpanzee called?,troop; group tribe,Collective noun
What is a group of Zebra called?,cohort; dazzle; herd; zeal,Collective noun
How is a group of Otter referred to?,family; romp,Collective noun
What name is given to the offspring of a/an Quail?,chick,Young
What name is given to a female Wallaby?,jill,Female
What do you call a female Hornet?,queen,Female
What is a group of Elk/wapiti called?,gang; herd,Collective noun
What name is given to the offspring of a/an Gerbil?,pup,Young
What name is given to the offspring of a/an Lion?,cub,Young
What name is given to a group of Baboon?,flange troop; group,Collective noun
What is the young one of a/an Porcupine called?,pup; porcupette,Young
What name is given to a group of Mole?,labor,Collective noun
How is a group of Baboon referred to?,flange troop; group,Collective noun
What name is given to the offspring of a/an Alligator?,hatchling,Young
What do you call a/an Alligator’s young?,hatchling,Young
What name is given to a group of Hedgehog?,array,Collective noun
What name is given to the offspring of a/an Bobcat?,bobkitten,Young
What is a group of Pheasant called?,bouquet; flock; nest; nide; nye,Collective noun
What is the baby of a/an Goat called?,kid,Young
What do you call a group of Shark?,shiver,Collective noun
What do you call a group of Owl?,parliament,Collective noun
What name is given to the offspring of a/an Lizard?,hatchling,Young
What name is given to a group of Squid?,shoal,Collective noun
What do you call a/an Chough’s young?,chick,Young
What name is given to the offspring of a/an Giant; panda?,cub,Young
What name is given to a group of Chough?,chattering; clattering,Collective noun
How is a group of Cat referred to?,clowder; cluster; clutter; glaring; kindle; litter; pillow; pounce; nuisance,Collective noun
What is a group of Eel called?,bed; swarm,Collective noun
What is the baby of a/an Elk/wapiti called?,calf,Young
How is a group of Butterfly referred to?,flight; flutter; kaleidoscope; rabble; swarm,Collective noun
What name is given to the offspring of a/an Kinkajou?,kit; pup,Young
What do you call a/an Hyena’s young?,cub,Young
What name is given to a female Wolf?,bitch; she-wolf,Female
What name is given to the offspring of a/an Lapwing?,chick,Young
How is a group of Turtle referred to?,bale,Collective noun
What name is given to a female Gecko?,dam,Female
What do you call a group of Locust?,cloud; host; swarm,Collective noun
What name is given to the offspring of a/an Sea; otter?,pup,Young
How is a group of Gnat referred to?,cloud; horde; rabble; swarm,Collective noun
What is the baby of a/an Octopus called?,paralarva,Young
What do you call a female Prairie; dog?,sow,Female
What name is given to a group of Gnat?,cloud; horde; rabble; swarm,Collective noun
How is a group of Falcon referred to?,cast,Collective noun
What name is given to the offspring of a/an Cattle?,calf,Young
What do you call a/an Turkey’s young?,poult,Young
What is the baby of a/an Mongoose called?,pup,Young
What name is given to the offspring of a/an Crane?,chick; colt,Young
What is the baby of a/an Deer called?,calf; fawn,Young
What name is given to a group of Giraffe?,corps; herd; tower,Collective noun
What do you call a group of Gorilla?,band troop; group whoop,Collective noun
What name is given to the offspring of a/an Camel?,calf,Young
How is a group of Skunk referred to?,surfeit,Collective noun
How is a group of Boar/wild; pig referred to?,herd; singular; sounder,Collective noun
What is a group of Starling called?,chattering; murmuration,Collective noun
What do you call a/an Deer’s young?,calf; fawn,Young
How is a group of Spider referred to?,cluster; clutter,Collective noun
What is a group of Dolphin called?,herd; pod; school; team,Collective noun
What is the baby of a/an Thrush called?,chick,Young
What do you call a group of Oyster?,bed,Collective noun
What do you call a group of Wallaby?,mob,Collective noun
What is the young one of a/an Partridge called?,chick,Young
What do you call a/an Owl’s young?,fledgling; owlet,Young
What is the baby of a/an Flamingo called?,chick,Young
What name is given to a group of Wolf?,pack,Collective noun
What name is given to a group of Beaver?,colony; family,Collective noun
What is the female Hippopotamus called?,cow,Female
What is a group of Dog called?,comedy; cowardice; cry; kennel; litter; mute; pack,Collective noun
What name is given to a group of Hare?,band; down; drove; flick; husk,Collective noun
What is the female Wolf called?,bitch; she-wolf,Female
What name is given to the offspring of a/an Raccoon?,cub; kit,Young
What do you call a female Wolf?,bitch; she-wolf,Female
What do you call a/an Jellyfish’s young?,ephyra; planula; polyp,Young
What do you call a/an Bear’s young?,cub,Young
What do you call a female Sheep?,dam; ewe,Female
What name is given to the offspring of a/an Cod?,codling,Young
How is a female Dove referred to?,hen,Female
What name is given to a group of Porcupine?,prickle,Collective noun
What is the young one of a/an Otter called?,pup; whelp,Young
What is a group of Fox called?,leash; skulk; earth,Collective noun
What name is given to the offspring of a/an Gnu?,calf,Young
What name is given to the offspring of a/an Polar; bear?,cub,Young
What do you call a/an Hawk’s young?,eyas,Young
What is the female Alpaca called?,hembra,Female
How is a female Chicken referred to?,hen; pullet,Female
What name is given to the offspring of a/an Pelican?,chick; nestling,Young
What name is given to a female Kinkajou?,sow,Female
How is a group of Goshawk referred to?,flight,Collective noun
What name is given to the offspring of a/an Bee?,larva; pupa,Young
What is the female Skunk called?,sow,Female
What name is given to the offspring of a/an Baboon?,infant,Young
What is the female Hare called?,doe; jill,Female
What do you call a group of Penguin?,colony; huddle; raft; rookery; tuxedo; waddle,Collective noun
What is the baby of a/an Sea; otter called?,pup,Young
What name is given to the offspring of a/an Binturong?,binlet,Young
How is a group of Squid referred to?,shoal,Collective noun
What is the female Turkey called?,hen,Female
What do you call a female Giraffe?,cow,Female
What do you call a/an Toad’s young?,tadpole; toadlet,Young
What name is given to a female Goose?,goose,Female
What name is given to the offspring of a/an Gecko?,hatchling,Young
What is the female Wasp called?,queen; worker,Female
What is the young one of a/an Toad called?,tadpole; toadlet,Young
What do you call a/an Spoonbill’s young?,chick,Young
How is a group of Armadillo referred to?,protection,Collective noun
What is the young one of a/an Ladybug called?,larva,Young
What name is given to a group of Skunk?,surfeit,Collective noun
What name is given to a group of Camel?,caravan; flock; herd; train,Collective noun
What do you call a group of Squirrel?,scurry,Collective noun
What is a group of Otter called?,family; romp,Collective noun
What is the baby of a/an Chinchilla called?,kit,Young
What is a group of Shark called?,shiver,Collective noun
How is a group of Seal referred to?,herd; pod; rookery,Collective noun
What is the young one of a/an Sea; otter called?,pup,Young
How is a group of Swan referred to?,bevy; flock; lamentation; wedge,Collective noun
What is a group of Porcupine called?,prickle,Collective noun
What name is given to a group of Gorilla?,band troop; group whoop,Collective noun
What is a group of Human called?,band; clan; crowd; family; group; horde; tribe,Collective noun
What is the baby of a/an Seahorse called?,seafoal,Young
How is a group of Mosquito referred to?,cloud; scourge; swarm,Collective noun
What do you call a group of Hamster?,horde,Collective noun
What is the baby of a/an Llama called?,cria,Young
What is the young one of a/an Moth called?,caterpillar; chrysalis; larva; pupa,Young
What do you call a/an Frog’s young?,froglet; polliwog; tadpole,Young
What name is given to the offspring of a/an Rabbit?,bunny; kit; kitten; nestling,Young
What is the female Baboon called?,babuina,Female
What name is given to the offspring of a/an Kangaroo?,joey,Young
What is the baby of a/an Dolphin called?,calf,Young
What name is given to a female Raccoon?,sow,Female
What is the baby of a/an Lizard called?,hatchling,Young
What is the young one of a/an Hawk called?,eyas,Young
What do you call a group of Lapwing?,deceit; desert,Collective noun
What do you call a female Raven?,hen,Female
What do you call a female Rat?,doe,Female
How is a group of Bat referred to?,camp; cloud; colony; flock,Collective noun
How is a group of Rook referred to?,building; parliament,Collective noun
What name is given to a female Dolphin?,cow,Female
What is the baby of a/an Hamster called?,pup,Young
How is a group of Wildebeest referred to?,confusion,Collective noun
How is a group of Rhinoceros referred to?,crash; herd,Collective noun
What is the baby of a/an Polar; bear called?,cub,Young
How is a group of Guinea; fowl referred to?,flock; rasp,Collective noun
What is the baby of a/an Human called?,baby; boy; child; girl; infant,Young
How is a female Dolphin referred to?,cow,Female
How is a group of Kinkajou referred to?,convergence; troop,Collective noun
What is the young one of a/an Chicken called?,chick,Young
What do you call a group of Narwhal?,pod; herd; school; gam; grind,Collective noun
How is a group of Raven referred to?,conspiracy; unkindness,Collective noun
What name is given to the offspring of a/an Beetle?,larva; grub; mealworm; pupa,Young
What is the baby of a/an Penguin called?,chick; nestling,Young
What is the baby of a/an Kinkajou called?,kit; pup,Young
What is the young one of a/an Albatross called?,chick,Young
What name is given to a group of Seal?,herd; pod; rookery,Collective noun
What do you call a group of Zebra?,cohort; dazzle; herd; zeal,Collective noun
What name is given to a group of Spoonbill?,bowl,Collective noun
What name is given to the offspring of a/an Hedgehog?,hoglet; piglet; pup,Young
What is the female Pug called?,bitch,Female
What is the baby of a/an Termite called?,larva,Young
What is a group of Goshawk called?,flight,Collective noun
What is a group of Rabbit called?,litter; nest; warren; wrack,Collective noun
What name is given to a female Baboon?,babuina,Female
What do you call a female Wallaby?,jill,Female
What do you call a/an Starfish’s young?,bipinnaria; brachiolaria,Young
How is a female Seal referred to?,cow,Female
What is a group of Mouse called?,colony; nest,Collective noun
What is a group of Toucan called?,durante,Collective noun
What is a group of Lapwing called?,deceit; desert,Collective noun
What is the young one of a/an Chinchilla called?,kit,Young
What name is given to a group of Hawk?,aerie; boil; cast; cauldron; flight; flock; kettle; leash; staff,Collective noun
What is the baby of a/an Salmon called?,parr,Young
What do you call a/an Alpaca’s young?,cria,Young
What name is given to a female Dove?,hen,Female
What do you call a/an Peafowl’s young?,chick; peachick,Young
What name is given to a group of Sandpiper?,fling,Collective noun
What name is given to a group of Rhinoceros?,crash; herd,Collective noun
What do you call a group of Polar; bear?,aurora; celebration; pack,Collective noun
What is the young one of a/an Turtle called?,hatchling; turtlet,Young
What name is given to a female Guinea; pig?,sow,Female
What name is given to a group of Pug?,grumble,Collective noun
What is the young one of a/an Cormorant called?,chick; shaglet,Young
What name is given to the offspring of a/an Crocodile?,hatchling,Young
What do you call a/an Antelope’s young?,calf,Young
How is a group of Moth referred to?,eclipse; swarm,Collective noun
What is the female Crocodile called?,cow,Female
What is a group of Lobster called?,risk,Collective noun
What name is given to a group of Boar/wild; pig?,herd; singular; sounder,Collective noun
What is the young one of a/an Butterfly called?,caterpillar; chrysalis; larva; pupa,Young
What is a group of Lemur called?,conspiracy,Collective noun
What name is given to a female Heron?,hen,Female
What is the baby of a/an Fox called?,cub; kit; pup,Young
What is the female Goat called?,doe; doeling; nanny,Female
What is the young one of a/an Locust called?,nymph,Young
What name is given to a group of Lobster?,risk,Collective noun
What is a group of Giant; panda called?,embarrassment; sleuth,Collective noun
What do you call a female Kinkajou?,sow,Female
What do you call a group of Goshawk?,flight,Collective noun
How is a group of Oyster referred to?,bed,Collective noun
What is the baby of a/an Guanaco called?,chulengo,Young
What is the female Finch called?,hen,Female
What is the baby of a/an Bat called?,pup,Young
What is the female Ram called?,ewe,Female
What do you call a female Ram?,ewe,Female
What is the baby of a/an Gerbil called?,pup,Young
What is the young one of a/an Gnu called?,calf,Young
What do you call a group of Jay?,band; party; scold,Collective noun
How is a group of Hippopotamus referred to?,bloat; herd; sea; thunder,Collective noun
What do you call a group of Mole?,labor,Collective noun
What do you call a/an Partridge’s young?,chick,Young
What name is given to a group of Duck?,badling; brace; bunch; flock; herd; paddling; raft; safe; skein; sord; sore; string; team; waddling,Collective noun
What is a group of Peccary called?,squadron,Collective noun
What do you call a/an Newt’s young?,eft,Young
What is the young one of a/an Opossum called?,joey,Young
What name is given to a group of Ass/donkey?,coffle; drove; herd; pace,Collective noun
What name is given to a group of Whale?,gam; pod; school,Collective noun
How is a group of Eel referred to?,bed; swarm,Collective noun
What is a group of Chicken called?,brood; clutch; flock; peep,Collective noun
What do you call a female Hamster?,doe,Female
What name is given to a group of Herring?,army; glean; shoal,Collective noun
What do you call a/an Guinea; pig’s young?,pup,Young
