question,answer,type
What is the ISO code of the currency Uruguayan peso from Uruguay?,UYU,iso_code
"What is the fractional unit of the currency South Korean won from Korea, South?",Jeon,fractional_unit
What is the currency symbol of the currency Bangladeshi taka from Bangladesh?,৳,symbol_or_abbreviation
What is the fractional unit of the currency Egyptian pound from Egypt?,Piastre[B],fractional_unit
What is the fractional unit of the currency Aruban florin from Aruba?,Cent,fractional_unit
What is the ISO code of the currency Nigerian naira from Nigeria?,NGN,iso_code
What is the currency symbol of the currency Singapore dollar from Singapore[M]?,$,symbol_or_abbreviation
What is the fractional unit of the currency Gibraltar pound from Gibraltar?,Penny,fractional_unit
What is the currency symbol of the currency CFP franc from Wallis and Futuna?,₣,symbol_or_abbreviation
What is the currency symbol of the currency Euro from Akrotiri and Dhekelia?,€,symbol_or_abbreviation
What is the ISO code of the currency Sierra Leonean leone from Sierra Leone?,SLE,iso_code
What is the ISO code of the currency Lesotho loti from Lesotho?,LSL,iso_code
What is the currency symbol of the currency Euro from Vatican City?,€,symbol_or_abbreviation
What is the ISO code of the currency United States dollar from Ecuador?,USD,iso_code
What is the fractional unit of the currency Australian dollar from Kiribati?,Cent,fractional_unit
What is the currency symbol of the currency West African CFA franc from Senegal?,F.CFA,symbol_or_abbreviation
What is the currency symbol of the currency Euro from Slovenia?,€,symbol_or_abbreviation
What is the fractional unit of the currency Australian dollar from Tuvalu?,Cent,fractional_unit
What is the fractional unit of the currency Australian dollar from Tuvalu?,Cent,fractional_unit
"What is the fractional unit of the currency North Korean won from Korea, North?",Chon,fractional_unit
What is the fractional unit of the currency Malagasy ariary from Madagascar?,Iraimbilanja,fractional_unit
What is the currency symbol of the currency Ghanaian cedi from Ghana?,₵,symbol_or_abbreviation
What is the ISO code of the currency United States dollar from Turks and Caicos Islands?,USD,iso_code
What is the fractional unit of the currency United States dollar from El Salvador?,Cent,fractional_unit
What is the fractional unit of the currency Turkmenistani manat from Turkmenistan?,Tenge,fractional_unit
What is the fractional unit of the currency Israeli new shekel from Palestine[K]?,Agora,fractional_unit
What is the ISO code of the currency United States dollar from El Salvador?,USD,iso_code
What is the fractional unit of the currency Fijian dollar from Fiji?,Cent,fractional_unit
What is the currency symbol of the currency Bosnia and Herzegovina convertible mark from Bosnia and Herzegovina?,KM,symbol_or_abbreviation
What is the fractional unit of the currency Eastern Caribbean dollar from Montserrat?,Cent,fractional_unit
What is the currency symbol of the currency Caribbean guilder from Curaçao?,Cg,symbol_or_abbreviation
What is the ISO code of the currency Omani rial from Oman?,OMR,iso_code
What is the ISO code of the currency Haitian gourde from Haiti?,HTG,iso_code
What is the fractional unit of the currency Comorian franc from Comoros?,Centime,fractional_unit
What is the fractional unit of the currency Euro from Ireland?,Cent,fractional_unit
What is the fractional unit of the currency Indonesian rupiah from Indonesia?,Sen,fractional_unit
What is the fractional unit of the currency Euro from Montenegro?,Cent,fractional_unit
What is the ISO code of the currency Moroccan dirham from Morocco?,MAD,iso_code
What is the ISO code of the currency Botswana pula from Botswana?,BWP,iso_code
What is the ISO code of the currency Euro from Greece?,EUR,iso_code
What is the ISO code of the currency Caribbean guilder from Sint Maarten?,XCG,iso_code
What is the fractional unit of the currency Jamaican dollar from Jamaica?,Cent,fractional_unit
What is the ISO code of the currency Lao kip from Laos?,LAK,iso_code
What is the fractional unit of the currency Caribbean guilder from Sint Maarten?,Cent,fractional_unit
What is the ISO code of the currency Euro from Slovenia?,EUR,iso_code
What is the currency symbol of the currency Euro from France?,€,symbol_or_abbreviation
What is the currency symbol of the currency Manx pound from Isle of Man?,£,symbol_or_abbreviation
What is the ISO code of the currency Central African CFA franc from Equatorial Guinea?,XAF,iso_code
What is the ISO code of the currency Kenyan shilling from Kenya?,KES,iso_code
What is the currency symbol of the currency Russian ruble from Abkhazia?,₽,symbol_or_abbreviation
What is the ISO code of the currency Romanian leu from Romania?,RON,iso_code
What is the ISO code of the currency Iraqi dinar from Iraq?,IQD,iso_code
What is the currency symbol of the currency West African CFA franc from Mali?,F.CFA,symbol_or_abbreviation
"What is the fractional unit of the currency South Korean won from Korea, South?",Jeon,fractional_unit
What is the ISO code of the currency Comorian franc from Comoros?,KMF,iso_code
What is the fractional unit of the currency Rwandan franc from Rwanda?,Centime,fractional_unit
What is the currency symbol of the currency Danish krone from Denmark?,kr,symbol_or_abbreviation
What is the fractional unit of the currency Sterling from Isle of Man?,Penny,fractional_unit
What is the currency symbol of the currency West African CFA franc from Guinea-Bissau?,F.CFA,symbol_or_abbreviation
What is the ISO code of the currency Ugandan shilling from Uganda?,UGX,iso_code
What is the fractional unit of the currency Namibian dollar from Namibia?,Cent,fractional_unit
What is the currency symbol of the currency Bermudian dollar from Bermuda?,$,symbol_or_abbreviation
What is the ISO code of the currency Peruvian sol from Peru?,PEN,iso_code
What is the fractional unit of the currency New Zealand dollar from Pitcairn Islands?,Cent,fractional_unit
What is the ISO code of the currency Peruvian sol from Peru?,PEN,iso_code
What is the fractional unit of the currency Manx pound from Isle of Man?,Penny,fractional_unit
What is the currency symbol of the currency Dominican peso from Dominican Republic?,$,symbol_or_abbreviation
What is the fractional unit of the currency Samoan tālā from Samoa?,Sene,fractional_unit
What is the fractional unit of the currency Sterling from Saint Helena?,Penny,fractional_unit
What is the fractional unit of the currency West African CFA franc from Benin?,Centime,fractional_unit
What is the currency symbol of the currency Bosnia and Herzegovina convertible mark from Bosnia and Herzegovina?,KM,symbol_or_abbreviation
What is the currency symbol of the currency Singapore dollar from Singapore[M]?,$,symbol_or_abbreviation
What is the fractional unit of the currency Turkish lira from Northern Cyprus?,Kuruş,fractional_unit
What is the fractional unit of the currency Syrian pound from Syria?,Piastre,fractional_unit
What is the currency symbol of the currency Pakistani rupee from Pakistan?,Re or Rs (pl.),symbol_or_abbreviation
What is the ISO code of the currency South African rand from Eswatini?,ZAR,iso_code
What is the ISO code of the currency Euro from Estonia?,EUR,iso_code
What is the fractional unit of the currency Sahrawi peseta from Sahrawi Republic[L]?,Centime,fractional_unit
What is the ISO code of the currency United States dollar from British Virgin Islands?,USD,iso_code
What is the fractional unit of the currency Chilean peso from Chile?,Centavo,fractional_unit
What is the fractional unit of the currency Liberian dollar from Liberia?,Cent,fractional_unit
What is the ISO code of the currency Turkmenistani manat from Turkmenistan?,TMT,iso_code
What is the fractional unit of the currency Qatari riyal from Qatar?,Dirham,fractional_unit
What is the currency symbol of the currency Kuwaiti dinar from Kuwait?,KD,symbol_or_abbreviation
What is the currency symbol of the currency Euro from Croatia?,€,symbol_or_abbreviation
What is the fractional unit of the currency Armenian dram from Armenia?,Luma,fractional_unit
What is the fractional unit of the currency Saint Helena pound from Saint Helena?,Penny,fractional_unit
What is the currency symbol of the currency South Sudanese pound from South Sudan?,SS£,symbol_or_abbreviation
What is the fractional unit of the currency Swedish krona from Sweden?,Öre,fractional_unit
What is the ISO code of the currency United States dollar[G] from Bonaire?,USD,iso_code
What is the ISO code of the currency Guyanese dollar from Guyana?,GYD,iso_code
What is the currency symbol of the currency Polish złoty from Poland?,zł,symbol_or_abbreviation
What is the currency symbol of the currency Burmese kyat from Myanmar?,K or Ks (pl.),symbol_or_abbreviation
What is the ISO code of the currency Belize dollar from Belize?,BZD,iso_code
What is the ISO code of the currency United States dollar[G] from Bonaire?,USD,iso_code
What is the ISO code of the currency Kuwaiti dinar from Kuwait?,KWD,iso_code
What is the fractional unit of the currency Euro from Greece?,Cent,fractional_unit
What is the currency symbol of the currency Pitcairn Islands dollar[E] from Pitcairn Islands?,$,symbol_or_abbreviation
What is the ISO code of the currency Euro from Austria?,EUR,iso_code
What is the currency symbol of the currency Rwandan franc from Rwanda?,FRw,symbol_or_abbreviation
What is the ISO code of the currency Romanian leu from Romania?,RON,iso_code
What is the currency symbol of the currency Belize dollar from Belize?,$,symbol_or_abbreviation
What is the fractional unit of the currency Macedonian denar from North Macedonia?,Deni,fractional_unit
What is the fractional unit of the currency Japanese yen from Japan?,Sen[C],fractional_unit
What is the fractional unit of the currency Somali shilling from Somalia?,Cent,fractional_unit
What is the fractional unit of the currency Somali shilling from Somalia?,Cent,fractional_unit
What is the ISO code of the currency West African CFA franc from Guinea-Bissau?,XOF,iso_code
What is the fractional unit of the currency Ethiopian birr from Ethiopia?,Santim,fractional_unit
What is the currency symbol of the currency Brunei dollar from Singapore[M]?,$,symbol_or_abbreviation
What is the fractional unit of the currency Australian dollar from Tuvalu?,Cent,fractional_unit
What is the currency symbol of the currency Euro from Andorra?,€,symbol_or_abbreviation
What is the currency symbol of the currency Macanese pataca from Macau?,$ or ptc,symbol_or_abbreviation
What is the ISO code of the currency Singapore dollar from Brunei[H]?,SGD,iso_code
What is the ISO code of the currency Mongolian tögrög from Mongolia?,MNT,iso_code
What is the currency symbol of the currency Eastern Caribbean dollar from Antigua and Barbuda?,EC$,symbol_or_abbreviation
What is the ISO code of the currency Russian ruble from Russia?,RUB,iso_code
What is the fractional unit of the currency Brazilian real from Brazil?,Centavo,fractional_unit
What is the ISO code of the currency United States dollar from Timor-Leste?,USD,iso_code
What is the ISO code of the currency Angolan kwanza from Angola?,AOA,iso_code
What is the ISO code of the currency Sterling from Saint Helena?,GBP,iso_code
What is the currency symbol of the currency Yemeni rial from Yemen?,Rl or Rls (pl.),symbol_or_abbreviation
What is the ISO code of the currency Euro from Slovenia?,EUR,iso_code
What is the currency symbol of the currency West African CFA franc from Côte d'Ivoire?,F.CFA,symbol_or_abbreviation
What is the ISO code of the currency Azerbaijani manat from Azerbaijan?,AZN,iso_code
What is the fractional unit of the currency Turkmenistani manat from Turkmenistan?,Tenge,fractional_unit
What is the fractional unit of the currency Euro from Netherlands[G]?,Cent,fractional_unit
What is the ISO code of the currency Venezuelan sovereign bolívar from Venezuela?,VES,iso_code
What is the currency symbol of the currency Euro from Monaco?,€,symbol_or_abbreviation
What is the ISO code of the currency Comorian franc from Comoros?,KMF,iso_code
What is the ISO code of the currency Euro from Luxembourg?,EUR,iso_code
What is the currency symbol of the currency Romanian leu from Romania?,Leu or Lei (pl.),symbol_or_abbreviation
What is the ISO code of the currency Central African CFA franc from Cameroon?,XAF,iso_code
What is the ISO code of the currency Euro from Latvia?,EUR,iso_code
What is the fractional unit of the currency Euro from Montenegro?,Cent,fractional_unit
What is the currency symbol of the currency Iraqi dinar from Iraq?,ID,symbol_or_abbreviation
What is the fractional unit of the currency Sterling from Bailiwick of Guernsey?,Penny,fractional_unit
What is the ISO code of the currency Euro from Ireland?,EUR,iso_code
What is the ISO code of the currency United States dollar from Micronesia?,USD,iso_code
What is the currency symbol of the currency Solomon Islands dollar from Solomon Islands?,$,symbol_or_abbreviation
What is the ISO code of the currency São Tomé and Príncipe dobra from São Tomé and Príncipe?,STN,iso_code
What is the currency symbol of the currency Euro from Vatican City?,€,symbol_or_abbreviation
What is the currency symbol of the currency Euro from Belgium?,€,symbol_or_abbreviation
What is the currency symbol of the currency Central African CFA franc from Central African Republic?,F.CFA,symbol_or_abbreviation
What is the fractional unit of the currency New Taiwan dollar from Taiwan?,Cent,fractional_unit
What is the ISO code of the currency South African rand from South Africa?,ZAR,iso_code
What is the fractional unit of the currency Jamaican dollar from Jamaica?,Cent,fractional_unit
What is the fractional unit of the currency Singapore dollar from Brunei[H]?,Cent,fractional_unit
What is the fractional unit of the currency West African CFA franc from Guinea-Bissau?,Centime,fractional_unit
What is the fractional unit of the currency Euro from Malta?,Cent,fractional_unit
What is the currency symbol of the currency Eastern Caribbean dollar from Antigua and Barbuda?,EC$,symbol_or_abbreviation
What is the currency symbol of the currency Euro from Andorra?,€,symbol_or_abbreviation
What is the currency symbol of the currency Sri Lankan rupee from Sri Lanka?,Re or Rs (pl.),symbol_or_abbreviation
What is the fractional unit of the currency Swedish krona from Sweden?,Öre,fractional_unit
What is the currency symbol of the currency South African rand from Eswatini?,R,symbol_or_abbreviation
What is the fractional unit of the currency Central African CFA franc from Cameroon?,Centime,fractional_unit
What is the fractional unit of the currency Eritrean nakfa from Eritrea?,Cent,fractional_unit
