Animal,Young,Female,Male,Collective noun
Goat,kid,doe; doeling; nanny,,herd; flock; tribe; trip; trippe
Goldfinch,—,—,,charm
Goosander,—,—,,dopping
Goose,gosling,goose,,chevron; flock; gaggle; plump; skein; team; wedge
Gorilla,infant,—,,band troop; group whoop
Goshawk,—,—,,flight
Grasshopper,nymph,—,,cloud; swarm
Grouse,—,—,,covey; pack
Guanaco,chulengo,—,,herd
Guinea; fowl,keet,hen,,flock; rasp
Guinea; pig,pup,sow,,herd
Hamster,pup,doe,,horde
Hare,leveret,doe; jill,,band; down; drove; flick; husk
Hawk,eyas,hen,,aerie; boil; cast; cauldron; flight; flock; kettle; leash; staff
Hedgehog,hoglet; piglet; pup,sow,,array
Heron,chick,hen,,flight; sedge; sege; siege
Herring,—,—,,army; glean; shoal
Hippopotamus,calf,cow,,bloat; herd; sea; thunder
Hornet,larva; pupa,queen,,bike; nest; swarm
Horse,colt; filly; foal; weanling; yearling,dam; mare,,band; field; harras; herd; rag; stable; string; stud; team
Human,baby; boy; child; girl; infant,lady; woman,,band; clan; crowd; family; group; horde; tribe
Hyena,cub,—,,cackle; clan
Jaguar,cub,—,,leap; parade; prowl
Jay,chick,hen,,band; party; scold
Jellyfish,ephyra; planula; polyp,—,,bloom; brood; fluther; smack; smuth
Kangaroo,joey,doe; flyer; jill; roo,,court; herd; mob; troop
Kingbird,chick,—,,court; tyranny; coronation
Kinkajou,kit; pup,sow,,convergence; troop
Koala,joey,doe,,—
Ladybug,larva,—,,loveliness
Lapwing,chick,—,,deceit; desert
Lark,chick,hen,,exaltation
Lemur,infant,—,,conspiracy
Leopard,cub,leopardess,,leap; lepe
Lion,cub,lioness,,pride; sawt
Lizard,hatchling,—,,—
Llama,cria,dam; hembra,,flock; herd
Lobster,—,hen,,risk
Locust,nymph,—,,cloud; host; swarm
Lyrebird,chick,hen,,musket
Mallard,duckling,hen,,sord; suit
Meerkat,meerkitten,—,,—
Mole,pup,sow,,labor
Mongoose,pup,—,,committee; delegation; troop
Monkey,infant,—,,group; troop
Moose,calf,cow,,herd
Mosquito,nymph; tumbler; wriggler,—,,cloud; scourge; swarm
Moth,caterpillar; chrysalis; larva; pupa,—,,eclipse; swarm
Mouse,pup,doe,,colony; nest
Narwhal,calf,cow,,pod; herd; school; gam; grind
Newt,eft,—,,—
Nightingale,chick,hen,,watch
Octopus,paralarva,—,,shoal
Opossum,joey,jill,,passel
Otter,pup; whelp,sow,,family; romp
Owl,fledgling; owlet,—,,parliament
Oyster,spat,—,,bed
Panther,cub,pantheress,,—
Partridge,chick,chantelle; hen,,covey; roost
Peafowl,chick; peachick,peahen,,ostentation
Peccary,—,—,,squadron
Pelican,chick; nestling,—,,pod; scoop
Penguin,chick; nestling,—,,colony; huddle; raft; rookery; tuxedo; waddle
Pheasant,chick,hen,,bouquet; flock; nest; nide; nye
Pig,farrow; piglet; shoat/shote,gilt; sow,,drift; drove; litter; sounder; team
Pigeon,squab; squeaker,hen,,flight; flock; kit
Platypus,—,—,,paddle
Polar; bear,cub,sow,,aurora; celebration; pack
Porcupine,pup; porcupette,sow,,prickle
Prairie; dog,pup,sow,,town
Pug,pup,bitch,,grumble
Quail,chick,hen,,bevy
Rabbit,bunny; kit; kitten; nestling,doe; jill,,litter; nest; warren; wrack
Raccoon,cub; kit,sow,,brace; committee; gaze; nursery; smack; troop
Ram,lamb,ewe,,flock
Rat,kitten; pup,doe,,colony; horde; mischief
Raven,chick,hen,,conspiracy; unkindness
Rhinoceros,calf,cow,,crash; herd
Rook,—,—,,building; parliament
Salamander,larva,—,,maelstrom
Salmon,parr,hen; jen,,—
Sand; dollar,juvenile; larva; pluteus,—,,—
Sandpiper,—,—,,fling
Sardine,—,—,,family
Seahorse,seafoal,seamare,,shoal
Seal,pup,cow,,herd; pod; rookery
Sea; otter,pup,—,,raft
Shark,cub; pup,—,,shiver
Sheep,cosset; lamb; lambkin,dam; ewe,,flock; fold; herd
Skunk,kit,sow,,surfeit
Snail,—,—,,escargatoire; rout; walk
Snake,hatchling; neonate; snakelet,—,,ball; nest; slither
Spider,spiderling,—,,cluster; clutter
Spoonbill,chick,—,,bowl
Squid,paralarva,—,,shoal
Squirrel,kit; kitten; pup,doe,,scurry
Starfish,bipinnaria; brachiolaria,—,,—
Starling,—,—,,chattering; murmuration
Stingray,pup,—,,fever
Swan,cygnet; flapper,pen,,bevy; flock; lamentation; wedge
Termite,larva,—,,colony; nest; swarm
Thrush,chick,—,,—
Tiger,cub; whelp,tigress,,ambush; streak
Toad,tadpole; toadlet,—,,knot
Toucan,chick,—,,durante
Turkey,poult,hen,,rafter
Turtle,hatchling; turtlet,—,,bale
Viper,hatchling,—,,—
Wallaby,joey,jill,,mob
Wasp,larva,queen; worker,,colony; hive; nest; swarm
Weasel,kit; pup,bitch; doe; jill,,gang; sneak
Whale,calf,cow,,gam; pod; school
Wildebeest,calf,cow,,confusion
Wolf,cub; pup; puppy; whelp,bitch; she-wolf,,pack
Wombat,joey,jill,,wisdom
Zebra,colt; filly; foal,mare,,cohort; dazzle; herd; zeal
