roman,arabic
MMDCCCVI,2806
MMMDXXII,3522
DCLXV,665
MMMCCLXXXIV,3284
MMMDX,3510
CDLXIII,463
CDXVII,417
MMMCXXXIII,3133
MMLXVIII,2068
MDCCLIII,1753
MDCCCXLII,1842
MCCLXXXVI,1286
DCCXLV,745
MCCCX,1310
MMMCCXXVI,3226
CCXXVIII,228
MMCXCVII,2197
MMMCMLVI,3956
MCCXLI,1241
CCXII,212
MMMDXCVI,3596
MCCCLXXXV,1385
MDXL,1540
MMDCCVIII,2708
MMCCCLXXV,2375
MCMLXXXIV,1984
MDCCCLXXXIII,1883
MMMCCCLXXXI,3381
CCLIX,259
CCLXVIII,268
MMDCCCLXXXII,2882
MCDXXIX,1429
MCCCXIII,1313
MMCCL,2250
MMMDXCII,3592
MMMDCCCLXVI,3866
MDLXXIII,1573
MMLXXXVI,2086
MLXII,1062
MDLXXI,1571
MMMDCCCXXXI,3831
MDLXXXIV,1584
MMMDCX,3610
MMCDLXIX,2469
MMMCMXXVI,3926
MMDCCII,2702
MCDLXXXII,1482
MCCCXXII,1322
MDCCX,1710
MLXXVIII,1078
MMMLXXII,3072
MMDCCCXLIV,2844
MMMDLXXXVIII,3588
MMMXXXIX,3039
MMDCCCLXXIV,2874
MMDXXII,2522
MMMDCCXXXIII,3733
MDCLVIII,1658
MDXLV,1545
MDCCV,1705
MMMDCCCXXIX,3829
MMMCCXCVIII,3298
MCXIX,1119
MMDV,2505
MMCMXII,2912
MMMDCCXXIX,3729
MMCCXCIX,2299
MMDCCLXVIII,2768
MMMCXLV,3145
MMDCL,2650
MDCCLX,1760
MCCC,1300
MDCCCXXVI,1826
MMMDCXV,3615
MMDXVI,2516
MMMLXXXIII,3083
CMLII,952
CMIV,904
DL,550
MMDCXXVI,2626
MDLXXX,1580
MDCCCXXXII,1832
MMMCCCXII,3312
MMCCLIII,2253
MMDCCXXXVIII,2738
MCCCXVIII,1318
MMMDCLXXI,3671
DCCCLXXXII,882
MCMIX,1909
MMCCXIX,2219
MMDCLV,2655
MMDCXLVII,2647
MMDCIV,2604
MMMCCLXVIII,3268
MCXCI,1191
MMMDIII,3503
MMMCCXXX,3230
MMCDXXI,2421
MMMDCLXXXII,3682
CCC,300
MCMLXXXVII,1987
MMDCCLXVI,2766
DCXXVII,627
MCMLI,1951
MCCLI,1251
CCCVI,306
MMDCCCIV,2804
MMCCXXXI,2231
CCCXXXIV,334
MMCDXXXVIII,2438
MMMCCCLII,3352
DCCLXVIII,768
MMDCCXCII,2792
MMMDIV,3504
DXXIII,523
MMXXXV,2035
MMCDV,2405
CDVI,406
MDCXLV,1645
MCMLXIV,1964
DCCCV,805
MXXVI,1026
MMMDCCLXXI,3771
DCCCXIV,814
MMCDLXXV,2475
MMMCDX,3410
CDII,402
MMLXXXII,2082
MM,2000
MCCCXXIV,1324
MMCCXLI,2241
MMMCMXXVII,3927
MMDXXIV,2524
MCCCXLIV,1344
MMMCII,3102
MMCCLXVI,2266
MMMXXV,3025
MDCLXXXVII,1687
MMCXVI,2116
MMDCCXXXVI,2736
MMCCCXCIV,2394
DCCCXCIV,894
MMMXX,3020
MMDLXIX,2569
MMCCXVIII,2218
MMDCXLIII,2643
MMMCCCXXVIII,3328
MDLXXVI,1576
MMDCCXI,2711
MMMCCCLXXV,3375
MMCMLXXXVI,2986
CCXXII,222
CCXCIV,294
MMMCXXX,3130
MMDCXVIII,2618
MMCXX,2120
MDCCLXXX,1780
MMLXXIX,2079
MMMLXXXVI,3086
CDXCVIII,498
MXCVI,1096
MDCCCLXXVIII,1878
CCCXXII,322
MDCLXVII,1667
DCCLXXI,771
MDCC,1700
DCCCLXXXIII,883
MMDXXXVII,2537
MMMDCCCLXXVI,3876
MCCCLXVII,1367
MCCL,1250
MMCXCIII,2193
MCMLXXIV,1974
MMDCLXXXI,2681
CCLI,251
MMCDX,2410
MMDCCLXXXIII,2783
MMDXIV,2514
MMMCDXXXV,3435
MMCMXCI,2991
MCLXVI,1166
MMMDLV,3555
MCCXLIX,1249
MMMCCCXLIII,3343
MDCCXXXV,1735
MMCCCXXVII,2327
MMXCIX,2099
MMDCCX,2710
DXLIII,543
MMDLXXXVIII,2588
MMMCXXIV,3124
MMCCCLV,2355
MMMCMIX,3909
MMMDCVIII,3608
DXCVI,596
MMDCII,2602
DCCXI,711
MMMCMLXXXIV,3984
MCDXI,1411
DCXCIV,694
CCX,210
MMDCLXXX,2680
MDCCCLIV,1854
MMCXV,2115
MMMDC,3600
MMCMXXIX,2929
CCXCV,295
DCCCXLIX,849
MCMLXIII,1963
MMMCCXXIII,3223
DCXLII,642
MMCCXCIV,2294
MMMDCCVI,3706
MMMDCCCXV,3815
MMMDLIX,3559
DCCL,750
MMMCMXVII,3917
MCCXI,1211
MCDXC,1490
DCVIII,608
MMMCCCXL,3340
MXXVII,1027
MMCDLXIII,2463
DCI,601
MMMDCCLXII,3762
MMDCCCXLI,2841
MDCCCLXXIII,1873
MDLXVII,1567
MMDLXXXIX,2589
MCDXIV,1414
MDXLIX,1549
MMMDCXLIV,3644
MMMDCCCXXXIV,3834
MDXXXVI,1536
MMMCCCXLII,3342
MCD,1400
MMMDCCCLXXXI,3881
MDLXXXVIII,1588
MCCLXXVII,1277
MMMDCCCXLVIII,3848
MMMCDXCIX,3499
MDXXXVIII,1538
MMMDCCVII,3707
DCCCXCVIII,898
DLXIV,564
MMMDCXIX,3619
MMMCCCXLVIII,3348
MCCV,1205
MMCDXCIII,2493
MMCCXCVII,2297
MDCCXCI,1791
MCMLXXVI,1976
CCCLXXVII,377
MMDCCCXXIV,2824
MMDCCCXL,2840
MMDCXCII,2692
MMMDCLXXX,3680
MMMCCXXI,3221
MMMCDXCVI,3496
MMMCXLIII,3143
MDXXXIX,1539
MMMCLXIX,3169
MCCXCVII,1297
MMMDCCLXXIV,3774
DCXXXI,631
MDCLXIX,1669
MMDCCXXIX,2729
CDXVIII,418
MMDCCCLXXVI,2876
MMXXXIV,2034
MMMCCCLXXXIX,3389
MMMCD,3400
MMMCCLXXV,3275
MCDXCVI,1496
MMDXC,2590
MMMCLXXXVI,3186
MDCCLVII,1757
MMMCCLII,3252
MMCXXXV,2135
MD,1500
DCCXXIV,724
MMMCXV,3115
MDCCLXVI,1766
MCDLXXXIV,1484
MMMDLXI,3561
MMMCLI,3151
MCDLXXXI,1481
MMMCCLXXIX,3279
MMMCLXXXII,3182
MX,1010
MDCCCLXXVII,1877
MMCCCXXXVIII,2338
MMMCCLI,3251
MMCLXXIV,2174
MMMCCCLXXVII,3377
MDXIX,1519
MMMCDXXVIII,3428
CMLXXVII,977
MMCCCLXVI,2366
MMMCCCL,3350
MMMCCCXXIX,3329
ML,1050
MMMCCCLXIV,3364
MDCCCLXI,1861
DCCCLXVII,867
MCLV,1155
MMDCXLIX,2649
MMCCXX,2220
MMMCMLXVI,3966
MMDCXVII,2617
MMDCCXCI,2791
MMXLVIII,2048
MCMXIX,1919
CCXXIX,229
MCMLXXIII,1973
MMDLXXXVI,2586
MMCLXIX,2169
DCCI,701
MMMDXXVII,3527
MMDCCXCVIII,2798
MMCDLIII,2453
MMMCDXXXIV,3434
MDCCXII,1712
MMMDCCLXVI,3766
MMMDCXLVIII,3648
MMDCCXX,2720
MMMCCXXVII,3227
MMCMLXXIII,2973
MMDIX,2509
MMDCCCXCVII,2897
MLXXXIX,1089
MMDCCLXXIV,2774
MMMCMLIV,3954
MMMDCCXXXII,3732
MMCLXXXII,2182
CMXVI,916
MMDCCLIV,2754
MCDXLI,1441
MCCLXXXIX,1289
MMMDCCC,3800
MDXXXIV,1534
MMMDCCLVIII,3758
MCDXLIV,1444
MMDCCLXXVII,2777
MCMLXXXIII,1983
MMMDCXCIII,3693
MMCMXXXIV,2934
MMMXLIV,3044
MLXXXIII,1083
MMCMIX,2909
MCLXXXVIII,1188
MCDLXXIII,1473
MCDIV,1404
CCLXIII,263
MMMDXLII,3542
MDCCCLXXXVIII,1888
MMMDCLXIII,3663
DLXXXII,582
MCCCLXXXVI,1386
MMDLXVI,2566
MMMLIX,3059
CDLXXII,472
MDXXVII,1527
MMDCCXCIV,2794
MMMDLXV,3565
MMMCLVI,3156
MMMDLXVI,3566
MCCCXLI,1341
MMMCCXLIV,3244
MCXCII,1192
MMMDCCCXII,3812
MXCVII,1097
MMMDXIX,3519
DCCC,800
CMXV,915
MMMCCXC,3290
MCDLIV,1454
MMCCCLXII,2362
CCCLXXXII,382
MMCD,2400
DXXXIII,533
MMVIII,2008
CCCXVI,316
MMMCMXXXIV,3934
MDCCLXIII,1763
CMXXIV,924
MDCCLVIII,1758
MXXI,1021
MMCCXLVIII,2248
MMMDXLIX,3549
MMMDCCCVIII,3808
MCMLXXVII,1977
MMMCCCLXXVIII,3378
DCCCIII,803
MMMCMLXXXI,3981
DCCXXI,721
MMCCXII,2212
MMMCCLXX,3270
CMXXXVIII,938
MMDCLXXVII,2677
MMDXLII,2542
MDCCCLX,1860
MMMCMLXXXII,3982
MCLII,1152
MCMXXI,1921
MMDCCIV,2704
CDLXXVII,477
CMLV,955
MMDCXLI,2641
DCCCLIII,853
MCCXXV,1225
MMMCCCXCIX,3399
MDCCXXV,1725
CCCXLII,342
DCCXLVIII,748
MDCCCXXVII,1827
MMDCCCLIX,2859
MCCCLIX,1359
MMDXVIII,2518
MMDCXXXV,2635
DLXXVIII,578
CC,200
CDLXVIII,468
MMMDCLXXXIX,3689
MMMCCCXIII,3313
MMCCXXXII,2232
MMDVII,2507
DCCV,705
MMMDCCXLIV,3744
MMDCXIII,2613
MMMDLX,3560
MCDLXVI,1466
MMMCXCV,3195
CCXXIII,223
DCCCXII,812
MMDLXXXVII,2587
MMMDCXXXV,3635
MMMDLXIV,3564
DCLXXXIII,683
MDXC,1590
MMDLVII,2557
MCDXV,1415
MMDCCCXCIII,2893
MMCMXCVIII,2998
MCXLIX,1149
MDCIV,1604
MDXLI,1541
MMXXX,2030
MMMDCCLXXXV,3785
DCLXVII,667
MMCCLXXXVI,2286
MCDXXI,1421
MMMDCLXVII,3667
MCMLXXXIX,1989
DCLXXXIV,684
MMMDCCCXL,3840
DLIII,553
MMCCXXXV,2235
DCIV,604
MMDCCXIV,2714
MVII,1007
MMCLXII,2162
MMDCLXVII,2667
MDCCLXXVII,1777
MMMCMXVIII,3918
CCCLIII,353
MMCMLXXV,2975
MMMCCXXXVI,3236
DCCCXCVII,897
MMMCCCLIII,3353
MMCDLVIII,2458
DCCCXCV,895
MMMDXLVI,3546
MDCCCXXIV,1824
MMMCMLXXXVII,3987
MMMDCCXXXIX,3739
MDCCCLXXIX,1879
MMDCCXLVII,2747
CDV,405
MCLVIII,1158
DCCCIX,809
MMDCCCXXX,2830
MMCDLXXXVIII,2488
MCMXLII,1942
DXVII,517
MDXXII,1522
DCCCXXXI,831
MCLXI,1161
MCDXXX,1430
MDCCLXXXVIII,1788
DCXLIX,649
MMMDCXLVI,3646
CCXLIII,243
MCCLXXXVII,1287
MCCXXIX,1229
MMMDCLXII,3662
MCCXII,1212
MMCMLXXIV,2974
CCCXL,340
CDLXXXII,482
MMCXXII,2122
MDCXIX,1619
CDXCII,492
MMMCXIII,3113
MDCLIX,1659
DXLIX,549
MCDLIX,1459
CCCXXIII,323
MMMCCLXXXVI,3286
MMCXCV,2195
MMMCCXVIII,3218
MMCCXIV,2214
MMMCXXXV,3135
MDCXCIX,1699
DCCXC,790
DCCXXVII,727
MMDXLIII,2543
DXIV,514
MMCDXL,2440
MCXXIII,1123
CCCXCIX,399
CDXXXVIII,438
MMCCXXXIII,2233
MMCMXXX,2930
MLVIII,1058
MMMCCI,3201
MDCCXL,1740
MDCCXLVII,1747
MMCXVIII,2118
DCLX,660
MMCCCXC,2390
MMDCCCXLII,2842
MMXCVI,2096
MMMCCCLIV,3354
MMMCCX,3210
DCCCLVIII,858
CCVIII,208
MXXXIX,1039
MCLXXI,1171
MMMCDLXXXIV,3484
MDCLV,1655
MDLVI,1556
MMLXVI,2066
MMMCLXXVIII,3178
MMCCCLXXXI,2381
MCCXIII,1213
DCCXLIX,749
MMMDLXXIX,3579
MMCV,2105
MMMDCCXCIX,3799
CCCLXX,370
MMMDCXVIII,3618
DCXLV,645
CDIX,409
MMCDXCIV,2494
MMCDLI,2451
MMDCXXIV,2624
MXV,1015
MMDCCXXXII,2732
MMCCCLXXI,2371
MCCLXI,1261
MDCCCXL,1840
MCCCLXIII,1363
DLXXII,572
MCMVII,1907
MMMDCCXLVIII,3748
MMCCCLXXXIX,2389
MMDCLXXXIII,2683
MMMCCLXXVIII,3278
MCCCLXX,1370
MCDXCVIII,1498
MCMXXVII,1927
MMMDCCCLI,3851
DCCLXV,765
MMCCLXXIX,2279
MMCCCLIV,2354
MMMCDLXX,3470
MMCCLXXVIII,2278
MMCCLXXXV,2285
MCMLII,1952
MMCMLXXX,2980
CMXLIV,944
DCCLXXXI,781
MMD,2500
DCCCXXV,825
MMMXIV,3014
MMMDCCCXLIX,3849
MMMCMXCVI,3996
MMCCCLXXXV,2385
MMMDCCCXXIII,3823
MCCCLV,1355
MCMXXXVI,1936
DCIX,609
MMCCCXLVIII,2348
MMCMV,2905
MMMCXXXVI,3136
MCDXCIII,1493
MMMDCXCII,3692
DCCCLXXXV,885
MDCCXI,1711
CDXXX,430
MCXLVI,1146
MMCLXXXV,2185
MMCDXI,2411
MCCCIV,1304
MMMCCCXXVI,3326
MMMLXXXIX,3089
MMMCMLXXIII,3973
MMCCLXII,2262
MCDXIX,1419
MMMCCC,3300
MMLXIII,2063
MMMCCCLVIII,3358
MMMCCCVIII,3308
MDCCXXXIV,1734
MCMXXXIV,1934
MCCCL,1350
MMMCXXI,3121
DCCCXXXII,832
MDCCCXCV,1895
MMCCCI,2301
MCXLIV,1144
MMMXXXVIII,3038
MMMCCCX,3310
CDXLII,442
MMMCCCXXXVI,3336
MMMDCCI,3701
MMCCII,2202
MMDCCCXCVI,2896
MMDCXCVIII,2698
DLXXXVI,586
CCXXXIV,234
MCDXL,1440
MMXXIV,2024
MMMXXIV,3024
MMXI,2011
MMMDCCXLIII,3743
MMCCLI,2251
CCLVI,256
MMDCCXXXIX,2739
MMMCMLIII,3953
MCCCXXVII,1327
MMMDCCCLXXIV,3874
MMMCCLXIV,3264
MLXXII,1072
MLII,1052
MCXXXIV,1134
MCMLXXXVI,1986
CMLXXXIX,989
MMMCCCLXXXV,3385
CCLXX,270
MMDLV,2555
CDLXXVI,476
MMMCMXXXVI,3936
MMDVIII,2508
MCCXL,1240
MCXIII,1113
MMMDCLXXXVIII,3688
DCCVII,707
MMMCXCVI,3196
MMLXXI,2071
CMLXXI,971
MMCCCXXX,2330
CDVII,407
MMMDCCXCVIII,3798
CCCXIV,314
MCLXXIV,1174
MMCLXI,2161
MLX,1060
DCCCLIV,854
CDLXIX,469
MMMCCCLXXXVII,3387
MMDCCCXCII,2892
MMCDLXII,2462
MDV,1505
MMDLXXXIII,2583
MMCCCXLI,2341
MXC,1090
MMXLI,2041
CMLXXXIV,984
MMCC,2200
MMMCDLI,3451
MMMCCLXXIII,3273
CMXLVI,946
MMCDLXIV,2464
MMMLII,3052
MMLXXXI,2081
MMMCCCXIV,3314
MMMCCXCIX,3299
MMDCCXXXVII,2737
MDCCCXC,1890
MMDCXCV,2695
MMCCXXXVIII,2238
MMCMXXXVIII,2938
MMCDXLVIII,2448
MCDLXXII,1472
MMCCCLVII,2357
MMMDCXVII,3617
MMCMVI,2906
MMCCCXV,2315
MDCCXVI,1716
CCCLXXVI,376
MCLXXXII,1182
MMMDXLVIII,3548
MDCVIII,1608
MLXXXVI,1086
CDLXX,470
DLXXVII,577
MMCMXVI,2916
MMMDCCCXIII,3813
MMDLII,2552
CMXIV,914
MCCCXXXII,1332
CCCLXXX,380
DCCCXXIX,829
MCCCLXIX,1369
MMMDCCCXXXV,3835
MMM,3000
MCMLXXXVIII,1988
MDCCC,1800
MMMCMXXIII,3923
MMIX,2009
MMMLXXXIV,3084
CCCLV,355
CDXXIV,424
DCCXXXIII,733
MMCDXLVI,2446
MDCLXII,1662
MMDVI,2506
MMDCCXLV,2745
DCLXXXVIII,688
MDCCIX,1709
DCLXX,670
MMMCLXXIV,3174
MMMCCCLXVI,3366
MMMCMXXXII,3932
MDCXCI,1691
MMMCCCXXII,3322
MMCDLXXXII,2482
MDCCCXV,1815
MCCX,1210
DXVIII,518
MMCMIV,2904
DLXIII,563
CCXXV,225
DCCII,702
MXLVI,1046
MMMDCCLXXXVI,3786
MCMXCI,1991
MCXLIII,1143
MMMCMLXXXIII,3983
DLXI,561
MMXXV,2025
MDCCLXXIV,1774
MMMXXI,3021
MMMCDXVI,3416
MMDCXXXIX,2639
MMMXXVIII,3028
MDXCIX,1599
MCMLVII,1957
MCLIII,1153
MMDXCVIII,2598
MMCDIII,2403
CDLXVI,466
MCXCVIII,1198
MMMDCCXCV,3795
DXXXVII,537
MMMCDXXII,3422
MMDCCXCIII,2793
MMCCCIII,2303
MDCCLXIX,1769
MMMDCCLXX,3770
MDCCLIX,1759
MMMCMLXXXIX,3989
MMMXC,3090
MMDCC,2700
CCCLXVIII,368
MDCXXXI,1631
MCCII,1202
DCCCXVI,816
MMMCMXXXIX,3939
CCCIV,304
MCMXXXII,1932
DCXCVII,697
MMXXXIII,2033
MMMCXXXIV,3134
MMMDXXV,3525
DCCCXCIX,899
MCCLIX,1259
DXCIX,599
MCCXCIII,1293
MDCLXVI,1666
MDCLXI,1661
MMMDCCLIX,3759
MMCDXVII,2417
MMMCCCXVII,3317
MCMXXII,1922
MMMDXVI,3516
MMMDCCCXXIV,3824
MMMCCLVI,3256
MMDCCCXXXII,2832
MMCCLXV,2265
MDCLXXVIII,1678
MMMDCCCX,3810
MMXIX,2019
DCCVIII,708
MDCCCXII,1812
MLXXIII,1073
MDCLXXXVIII,1688
MMDCCCXXI,2821
MMDCCXXX,2730
MMMDXXVIII,3528
MMDCCCLXXXIII,2883
MMDCLXV,2665
MMCCXVII,2217
CCCLXVI,366
MMMCMXVI,3916
MMDCCCXXXVII,2837
MDCV,1605
MMMDCLXXII,3672
MDCCCXXII,1822
MMCMLXV,2965
MMDCLXXXVII,2687
MMMCMLXIV,3964
MMMXLII,3042
MDCXCII,1692
MMCCCXXIII,2323
MMXLIV,2044
MMMDCCXXIII,3723
CCCXXXIX,339
DIII,503
MMXCIII,2093
MMCLXXXI,2181
MMMCDVIII,3408
MMMCCLXV,3265
CCXCVI,296
DIV,504
MMDCCCLXIV,2864
MMMDCCLIII,3753
MCLXVIII,1168
MMCMLVII,2957
MMXIV,2014
MMXXXVIII,2038
MMDCCLXXXI,2781
MCXV,1115
MMCDXXXV,2435
MDCCCLII,1852
DLIV,554
MMDCLIII,2653
MMMDCLXXIV,3674
CMLI,951
CMLXX,970
DXC,590
DCCCLXXII,872
MMMDCCLIV,3754
DVIII,508
MMMDCLVIII,3658
MMMDCCCXCI,3891
MMCCCLIII,2353
MCDXVI,1416
DCCCXLIV,844
MCXCVI,1196
MMCMLVIII,2958
MLI,1051
MDII,1502
MCMXII,1912
CDXLIX,449
MXVII,1017
CCCXLIV,344
MMMCCXXXIX,3239
MDLXII,1562
MMCCCXCIX,2399
CMLXXVI,976
MCCLV,1255
DCCXXXVIII,738
MCDIII,1403
MMCCCVI,2306
DCLXXXVII,687
MMMXVIII,3018
MMMDCLIII,3653
MMCCCXCVIII,2398
MMMDCCXXII,3722
MDCXVIII,1618
MMDXCII,2592
MMDCCCXCVIII,2898
MMMCDLXXII,3472
MCDXII,1412
MCMLXVIII,1968
MDCXXVI,1626
DCLXXVIII,678
CDLX,460
MDCCLXXXVI,1786
MCCCXXVIII,1328
MMCDLXXI,2471
CCCLXXV,375
CMLIII,953
MMCCCVIII,2308
MMMCCII,3202
MMLXIX,2069
DCLXXVII,677
MDCCLXXIX,1779
MMMCCCLXXXIII,3383
CCXXIV,224
MMCCXCV,2295
DV,505
MMCCLXVIII,2268
MMMDCXXX,3630
MMMDLXXXI,3581
MCCXXIV,1224
MMCML,2950
MCLXV,1165
MMMCCXXIV,3224
MCCXLVII,1247
CCCXC,390
DCXXV,625
DCII,602
MDCLXXIV,1674
MCCLVII,1257
MMCCCLXXVIII,2378
MLXXIX,1079
DCCXCII,792
MMMCDLXXVI,3476
MCCCXXVI,1326
CCCXXIV,324
MCCCLXXII,1372
MCCCLXV,1365
MMCCCLXXIII,2373
MDCXXX,1630
MMCDLXXVII,2477
MDLXXV,1575
MCCXLII,1242
DCCXVIII,718
MMMDCCCLVII,3857
MMMCLXIII,3163
MCCLX,1260
MCLXXXVI,1186
MMCMLXXXIV,2984
MDCCCXXV,1825
MMMDCCXLVII,3747
MMCXXIV,2124
DXXII,522
MDCCXLI,1741
DXLVIII,548
MMDCLX,2660
DCCLXXXII,782
DCXII,612
MMDCCCXI,2811
MDCCCVII,1807
MMCMXL,2940
MMMDCLI,3651
MMMCCLXIII,3263
MMMCXLII,3142
MMDLXVIII,2568
CDXLVI,446
MMDXIII,2513
MMDCXXVIII,2628
MDCXLIV,1644
CCXVI,216
MMMDCXLIX,3649
CCLXXIII,273
MCMXCVI,1996
MMDCCCXCIV,2894
DCCXV,715
MMLXXXIX,2089
MMMDCCCXI,3811
MMCMVIII,2908
CCXX,220
MMDCCLV,2755
MCCLXII,1262
MMDCXI,2611
CDLVI,456
MMMDLXII,3562
CMXVIII,918
MMCCCXXIX,2329
MCDXLVII,1447
MMMCCCLXXIV,3374
MDCCLXIV,1764
MMMDLVIII,3558
MMXCI,2091
CCLXXII,272
DCLXIX,669
MMMCMXXII,3922
MXI,1011
MCXLVII,1147
MMMCDXLIX,3449
MMDCLXXXIX,2689
MMMDCCCXCVII,3897
MCCCXCVIII,1398
MMCDXII,2412
DCCLXXXV,785
MDXCIV,1594
MDCLXXI,1671
MDCCXLV,1745
MCLXXII,1172
DLX,560
CDXCV,495
CMXXII,922
MCCLXXV,1275
MDCCCLXVI,1866
MMMLXXXV,3085
MDCXIII,1613
MMMCDLXXXIII,3483
MCMLXII,1962
MMCXCI,2191
DCCCXXVIII,828
MDCCCXXXI,1831
CCLXXXII,282
MMMDCCCXXXIX,3839
MMMDCIX,3609
MMCCCLI,2351
MMMXXXVI,3036
MMMDXXIX,3529
DCCXLVII,747
MCMXLVII,1947
MMDCCXXVI,2726
MDCXXXIV,1634
MMCDXLVII,2447
CMLXXXV,985
MMMCDLII,3452
MMCMLXXXIII,2983
MMMCXLVI,3146
MMDCCCLXVI,2866
DXCVII,597
DCCCXX,820
MMCDXXIX,2429
CDLXXI,471
CDXLV,445
MMMCCXXXVII,3237
MMMDCCCXLII,3842
MLXXXII,1082
MMCMVII,2907
MMMDCXI,3611
MDCCLI,1751
MMMDCCLXV,3765
MDCCCXCII,1892
MCDLV,1455
MMMCCCXCVIII,3398
MCCXXVIII,1228
DCXCII,692
CDLIX,459
MXCI,1091
MMMCXVII,3117
CMVIII,908
MDCCCXIV,1814
MXLI,1041
MDXXX,1530
DLXXI,571
MDL,1550
MMDLIX,2559
MMCIV,2104
DCCXXVI,726
MMMXLV,3045
MMMCCVII,3207
MMDCCXXXIII,2733
DLV,555
MCCCXCI,1391
DCCCXXXVIII,838
MMMCDXC,3490
MMCL,2150
MDCCXCIV,1794
MMMDCCCXCIV,3894
MMMCI,3101
MMCMLXXI,2971
MMLIV,2054
MMLXXX,2080
MMCMXXIV,2924
