question,answer
What is the IATA code for Kagoshima Airport?,KOJ
What is the IATA code for Beverley Springs Airport?,BVZ
What is the IATA code for Niagara Falls International Airport?,IAG
What is the IATA code for Crookston Municipal Airport?,CKN
What is the IATA code for Fangatau Airport?,FGU
What is the IATA code for Guari Airport?,GUG
What is the IATA code for Ulaangom Airport?,ULO
What is the IATA code for Mandera Airport?,NDE
What is the IATA code for Sultan Bantilan Airport?,TLI
What is the IATA code for Miami Executive Airport?,TMB
What is the IATA code for Biloela Airport?,ZBL
What is the IATA code for Nagoya Airfield?,NKM
What is the IATA code for Ormoc Airport?,OMC
What is the IATA code for Palacios Airport?,PCH
What is the IATA code for Kanab Municipal Airport?,KNB
What is the IATA code for RAF Scampton?,SQZ
What is the IATA code for Kamina Airport?,KMN
What is the IATA code for Panevėžys Air Base?,PNV
What is the IATA code for Slave Lake Airport?,YZH
What is the IATA code for Araxá Airport?,AAX
What is the IATA code for Playón Chico Airport?,PYC
What is the IATA code for Boundji Airport?,BOE
What is the IATA code for Ibo Island Airport?,IBO
What is the IATA code for Baganga Airport?,BNQ
What is the IATA code for Spokane International Airport?,GEG
What is the IATA code for Gilgit Airport?,GIL
What is the IATA code for Rurutu Airport?,RUR
What is the IATA code for Ayapel Airport?,AYA
What is the IATA code for Gordon Municipal Airport?,GRN
What is the IATA code for Urgench International Airport?,UGC
What is the IATA code for Capitán FAP Renán Elías Olivera Airport?,PIO
What is the IATA code for Streaky Bay Airport?,KBY
What is the IATA code for Thimarafushi Airport?,TMF
What is the IATA code for Chevery Airport?,YHR
What is the IATA code for Rutland – Southern Vermont Regional Airport?,RUT
What is the IATA code for Del Bajío International Airport?,BJX
What is the IATA code for Choibalsan Airport?,COQ
What is the IATA code for Moanamani Airport?,ONI
What is the IATA code for Sultan Babullah Airport?,TTE
What is the IATA code for Charlotte Douglas International Airport?,CLT
What is the IATA code for Gorge Harbour Water Aerodrome?,YGE
What is the IATA code for Batumi International Airport?,BUS
What is the IATA code for Sioux Gateway Airport?,SUX
What is the IATA code for Penza Airport?,PEZ
What is the IATA code for Hohhot Baita International Airport?,HET
What is the IATA code for Jardines del Rey Airport?,CCC
What is the IATA code for Ayacucho Airport?,AYC
What is the IATA code for Wiseman Airport?,WSM
What is the IATA code for Mehrabad International Airport?,THR
What is the IATA code for Pau Pyrénées Airport?,PUF
What is the IATA code for Diamantino Airport?,DMT
What is the IATA code for Meselia Airport?,MFZ
What is the IATA code for Saqani Airport?,AQS
What is the IATA code for Ocean Falls Water Aerodrome?,ZOF
What is the IATA code for Kailashahar Airport?,IXH
What is the IATA code for Rochefort – Saint-Agnant Airport?,RCO
What is the IATA code for Kiunga Airport?,KIU
What is the IATA code for Qaarsut Airport?,JQA
What is the IATA code for Useless Loop Airport?,USL
What is the IATA code for Bokeo International Airport?,BOR
What is the IATA code for Alexandra Aerodrome?,ALR
What is the IATA code for Maribor Edvard Rusjan Airport?,MBX
What is the IATA code for Murtala Muhammed International Airport?,LOS
What is the IATA code for Yellowknife Airport?,YZF
"What is the IATA code for Samos International Airport""Aristarchos of Samos""?",SMI
What is the IATA code for Banff Airport?,YBA
What is the IATA code for Bern Airport?,BRN
What is the IATA code for Iscuande Airport?,ISD
What is the IATA code for Zhanjiang Wuchuan Airport?,ZHA
What is the IATA code for Federico García Lorca Airport?,GRX
What is the IATA code for Manakara Airport?,WVK
What is the IATA code for Rahadi Osman Airport?,KTG
What is the IATA code for Yapsiei Airport?,KPE
What is the IATA code for Greenway Sound Water Aerodrome?,YGN
What is the IATA code for Subic Bay International Airport?,SFS
What is the IATA code for Naval Air Facility Atsugi?,NJA
What is the IATA code for Lock Airport?,LOC
What is the IATA code for Louisa County Airport?,LOW
What is the IATA code for Oita Airport?,OIT
What is the IATA code for Sunyani Airport?,NYI
What is the IATA code for Rakanda Airport?,RAA
What is the IATA code for Jack Edwards Airport?,GUF
What is the IATA code for Ogle Airport?,OGL
What is the IATA code for Grosseto Airport?,GRS
What is the IATA code for RAF Coningsby?,QCY
What is the IATA code for Malanje Airport?,MEG
What is the IATA code for Fitzroy Crossing Airport?,FIZ
What is the IATA code for Girona–Costa Brava Airport?,GRO
What is the IATA code for Yaoundé Airport?,YAO
What is the IATA code for Hope Aerodrome?,YHE
What is the IATA code for Mareeba Airfield?,MRG
What is the IATA code for Oskemen Airport?,UKK
What is the IATA code for Kirby Lake Airport?,KFM
What is the IATA code for Ugashik Bay Airport?,UGB
What is the IATA code for Rampi Airport?,RPI
What is the IATA code for Ankokoambo Airport?,NKO
What is the IATA code for Húsavík Airport?,HZK
What is the IATA code for Playa del Carmen Airport?,PCM
What is the IATA code for Bouarfa Airport?,UAR
What is the IATA code for Kadhdhoo Airport?,KDO
What is the IATA code for Roper Valley Airport?,RPV
What is the IATA code for Grodno Airport?,GNA
What is the IATA code for Boise Air Terminal?,BOI
What is the IATA code for Labasa Airport?,LBS
What is the IATA code for Myroodah Airport?,MYO
What is the IATA code for Tabora Airport?,TBO
What is the IATA code for Aumo Airport?,AUV
What is the IATA code for Shahid Sadooghi Airport?,AZD
What is the IATA code for Kamusi Airport?,KUY
What is the IATA code for Hector International Airport?,FAR
What is the IATA code for Khon Kaen Airport?,KKC
What is the IATA code for Sena Madureira Airport?,ZMD
What is the IATA code for Noto Airport?,NTQ
What is the IATA code for Cuyahoga County Airport?,CGF
What is the IATA code for Maku International Airport?,IMQ
"What is the IATA code for Thessaloniki Airport ""Macedonia""?",SKG
What is the IATA code for Waiheke Island Aerodrome?,WIK
What is the IATA code for Tenzing-Hillary Airport?,LUA
What is the IATA code for Kerau Airport?,KRU
What is the IATA code for French Lick Municipal Airport?,FRH
What is the IATA code for Shakawe Airport?,SWX
What is the IATA code for Debepare Airport?,DBP
What is the IATA code for Tabatinga International Airport?,TBT
What is the IATA code for Cerro Largo International Airport?,MLZ
What is the IATA code for Malelane Airport?,LLE
What is the IATA code for Pickle Lake Airport?,YPL
What is the IATA code for Sherman Army Airfield?,FLV
What is the IATA code for Manchester–Boston Regional Airport?,MHT
What is the IATA code for Göteborg City Airport?,GSE
What is the IATA code for Agra Airport?,AGR
"What is the IATA code for Molde Airport, Årø?",MOL
What is the IATA code for Krayniy Airport?,BXY
What is the IATA code for Abaiang Atoll Airport?,ABF
"What is the IATA code for Kirkenes Airport, Høybuktmoen?",KKN
What is the IATA code for Ariquemes Airport?,AQM
What is the IATA code for Tokachi–Obihiro Airport?,OBO
What is the IATA code for Banning Municipal Airport?,BNG
What is the IATA code for Laughlin Air Force Base?,DLF
What is the IATA code for Scottsdale Airport?,SCF
What is the IATA code for Iringa Airport?,IRI
What is the IATA code for Sept-Îles Airport?,YZV
What is the IATA code for Burg Feuerstein Airport?,URD
What is the IATA code for Wirasaba Airport?,PWL
What is the IATA code for Pinheiro Airport?,PHI
What is the IATA code for Pinang Kampai Airport?,DUM
What is the IATA code for Depati Parbo Airport?,KRC
What is the IATA code for Monteagudo Airport?,MHW
What is the IATA code for Tyndall Air Force Base?,PAM
What is the IATA code for Beatty Airport?,BTY
What is the IATA code for Huntsville International Airport?,HSV
What is the IATA code for Yeelirrie Airport?,KYF
What is the IATA code for Torch Cay Airport?,TCV
What is the IATA code for John Murtha Johnstown–Cambria County Airport?,JST
What is the IATA code for George F. L. Charles Airport?,SLU
What is the IATA code for Shizuoka Airport?,FSZ
What is the IATA code for Kuching International Airport?,KCH
What is the IATA code for Târgu Mureș International Airport?,TGM
What is the IATA code for Pelican Seaplane Base?,PEC
What is the IATA code for Swami Vivekananda Airport?,RPR
What is the IATA code for Tela Airport?,TEA
What is the IATA code for Palm Beach International Airport?,PBI
What is the IATA code for Handan Airport?,HDG
What is the IATA code for El Porvenir Airport?,PVE
What is the IATA code for In Guezzam Airport?,INF
What is the IATA code for Peterborough Airport?,YPQ
What is the IATA code for St. Anthony Airport?,YAY
What is the IATA code for Springbok Airport?,SBU
What is the IATA code for Lisbon Portela Airport?,LIS
What is the IATA code for Leitre Airport?,LTF
What is the IATA code for Lac Brochet Airport?,XLB
What is the IATA code for Letfotar Airport?,MOM
What is the IATA code for Bolzano Airport?,BZO
What is the IATA code for Dulkaninna Airport?,DLK
What is the IATA code for Menongue Airport?,SPP
What is the IATA code for Samui Airport?,USM
What is the IATA code for São Félix do Araguaia Airport?,SXO
What is the IATA code for Defiance Memorial Airport?,DFI
What is the IATA code for Nushki Airport?,NHS
What is the IATA code for Henry E. Rohlsen Airport?,STX
What is the IATA code for Mili Airport?,MIJ
What is the IATA code for Kananga Airport?,KGA
What is the IATA code for Konarak Airport?,ZBR
What is the IATA code for Phu Cat Airport?,UIH
What is the IATA code for Peppimenarti Airport?,PEP
What is the IATA code for Kelle Airport?,KEE
What is the IATA code for Chos Malal Airport?,HOS
What is the IATA code for São Borja Airport?,JBS
What is the IATA code for Zabol Airport?,ACZ
What is the IATA code for Cat Bi International Airport?,HPH
What is the IATA code for Inukjuak Airport?,YPH
What is the IATA code for Prince George Airport?,YXS
What is the IATA code for Ringgi Cove Airport?,RIN
What is the IATA code for Provincetown Municipal Airport?,PVC
What is the IATA code for Vitoria Airport?,VIT
What is the IATA code for Sadiq Abubakar III International Airport?,SKO
What is the IATA code for Anaa Airport?,AAA
What is the IATA code for Merced Regional Airport?,MCE
What is the IATA code for Sibisa Airport?,SIW
What is the IATA code for Dobbins Air Reserve Base?,MGE
What is the IATA code for San Rafael Airport?,TUV
What is the IATA code for Migalovo Air Base?,KLD
What is the IATA code for Atarot Airport?,JRS
What is the IATA code for Ficksburg Airport?,FCB
What is the IATA code for Columbia Gorge Regional Airport?,DLS
What is the IATA code for Dillon's Bay Airport?,DLY
What is the IATA code for Kertajati International Airport?,KJT
What is the IATA code for Wuvulu Island Airport?,WUV
What is the IATA code for Oiapoque Airport?,OYK
What is the IATA code for Cherry Capital Airport?,TVC
What is the IATA code for Nuremberg Airport?,NUE
What is the IATA code for Kalmar Airport?,KLR
What is the IATA code for Ambunti Airport?,AUJ
What is the IATA code for Rollang Field?,RFK
What is the IATA code for Khanty-Mansiysk Airport?,HMA
What is the IATA code for Boké Baralande Airport?,BKJ
What is the IATA code for Lincang Airport?,LNJ
What is the IATA code for Il Caravaggio International Airport?,BGY
What is the IATA code for McComb–Pike County Airport?,MCB
What is the IATA code for Chignik Lagoon Airport?,KCL
What is the IATA code for Pu'er Simao Airport?,SYM
What is the IATA code for Daru Airport?,DAU
What is the IATA code for Hydaburg Seaplane Base?,HYG
What is the IATA code for Tinak Airport?,TIC
What is the IATA code for Kuressaare Airport?,URE
What is the IATA code for Norfolk Regional Airport?,OFK
What is the IATA code for Uray Airport?,URJ
What is the IATA code for Huntsville Municipal Airport?,HTV
What is the IATA code for Khmelnytskyi Airport?,HMJ
What is the IATA code for Owatonna Degner Regional Airport?,OWA
What is the IATA code for Kornasoren Airport?,FOO
What is the IATA code for China Bay Airport?,TRR
What is the IATA code for Augusto C. Sandino International Airport?,MGA
What is the IATA code for Lt. Warren Eaton Airport?,OIC
What is the IATA code for Blumenau Airport?,BNU
What is the IATA code for Amedee Army Airfield?,AHC
What is the IATA code for Beloretsk Airport?,BCX
What is the IATA code for Guadalajara International Airport?,GDL
What is the IATA code for Ouyen Airport?,OYN
What is the IATA code for Gwa Airport?,GWA
What is the IATA code for Argyle International Airport?,SVD
What is the IATA code for Williamsport Regional Airport?,IPT
What is the IATA code for Vigo–Peinador Airport?,VGO
What is the IATA code for Los Roques Airport?,LRV
What is the IATA code for Hassi R'Mel Airport?,HRM
What is the IATA code for Port of Poulsbo Marina Moorage Seaplane Base?,PUL
What is the IATA code for Kapiti Coast Airport?,PPQ
What is the IATA code for Clarksville–Montgomery County Regional Airport?,CKV
What is the IATA code for Guanambi Airport?,GNM
What is the IATA code for Denver International Airport?,DEN
What is the IATA code for Puerto Rico Airport?,PUR
What is the IATA code for NAS Fallon?,NFL
What is the IATA code for Izhevsk Airport?,IJK
What is the IATA code for Ross River Airport?,XRR
What is the IATA code for Kangirsuk Airport?,YKG
What is the IATA code for Orenburg Tsentralny Airport?,REN
What is the IATA code for Whyalla Airport?,WYA
What is the IATA code for Rickenbacker International Airport?,LCK
What is the IATA code for General Navas Pardo Airport?,CPL
What is the IATA code for Gaggal Airport?,DHM
What is the IATA code for Cravo Norte Airport?,RAV
What is the IATA code for Tokat Airport?,TJK
What is the IATA code for Harry Mwanga Nkumbula International Airport?,LVI
What is the IATA code for Magdalena Airport?,MGD
What is the IATA code for Blue Canyon–Nyack Airport?,BLU
What is the IATA code for Mangaia Airport?,MGS
What is the IATA code for Île des Pins Airport?,ILP
What is the IATA code for Shiraz International Airport?,SYZ
What is the IATA code for Brunswick Golden Isles Airport?,BQK
What is the IATA code for Khok Kathiam Air Force Base?,KKM
What is the IATA code for Tebelian Airport?,SQG
What is the IATA code for Opuwa Airport?,OPW
What is the IATA code for Chifeng Yulong Airport?,CIF
What is the IATA code for Fairfield Municipal Airport?,FFL
What is the IATA code for Dezful Airport?,DEF
What is the IATA code for Central Nebraska Regional Airport?,GRI
What is the IATA code for Loring International Airport?,LIZ
What is the IATA code for Dunbar Airport?,DNB
What is the IATA code for Sauðárkrókur Airport?,SAK
What is the IATA code for Telegraph Creek Airport?,YTX
What is the IATA code for Keningau Airport?,KGU
What is the IATA code for Zakouma Airport?,AKM
What is the IATA code for Robert Atty Bessing Airport?,LNU
What is the IATA code for Billy Mitchell Airport?,HNC
What is the IATA code for Linda Downs Airport?,LLP
What is the IATA code for Trona Airport?,TRH
What is the IATA code for Combolcha Airport?,DSE
What is the IATA code for Jacqueline Cochran Regional Airport?,TRM
What is the IATA code for Margaret River Airport?,MQZ
What is the IATA code for Webequie Airport?,YWP
What is the IATA code for Ankang Wulipu Airport?,AKA
What is the IATA code for Chatham-Kent Airport?,XCM
What is the IATA code for Mafia Airport?,MFA
What is the IATA code for Accomack County Airport?,MFV
What is the IATA code for Edson Airport?,YET
What is the IATA code for New Bight Airport?,TBI
What is the IATA code for Attapeu International Airport?,AOU
What is the IATA code for Montpellier–Méditerranée Airport?,MPL
What is the IATA code for Kasaan Seaplane Base?,KXA
What is the IATA code for Stockholm Skavsta Airport?,NYO
What is the IATA code for Brno-Tuřany Airport?,BRQ
What is the IATA code for Hong Kong International Airport?,HKG
What is the IATA code for Hinthada Airport?,HEB
What is the IATA code for Juazeiro do Norte Airport?,JDO
What is the IATA code for Gafsa – Ksar International Airport?,GAF
What is the IATA code for Wewak Airport?,WWK
What is the IATA code for Colorado Creek Airport?,KCR
What is the IATA code for Tinson Pen Aerodrome?,KTP
What is the IATA code for Trenton Municipal Airport?,TRX
What is the IATA code for Dukuduku Airport?,DUK
What is the IATA code for Veliky Ustyug Airport?,VUS
What is the IATA code for Marshalltown Municipal Airport?,MIW
What is the IATA code for Karumba Airport?,KRB
What is the IATA code for Southwest Minnesota Regional Airport?,MML
What is the IATA code for Kickapoo Downtown Airport?,KIP
What is the IATA code for Lehigh Valley International Airport?,ABE
What is the IATA code for Frutillar Airport?,FRT
What is the IATA code for Three Rivers Municipal Airport?,HAI
What is the IATA code for El Tehuelche Airport?,PMY
What is the IATA code for Koltsovo International Airport?,SVX
What is the IATA code for Truth or Consequences Municipal Airport?,TCS
What is the IATA code for Lyall Harbour Seaplane Base?,YAJ
What is the IATA code for Fetlar Airport?,FEA
What is the IATA code for Vaasa Airport?,VAA
What is the IATA code for Eareckson Air Station?,SYA
What is the IATA code for Egilsstaðir Airport?,EGS
What is the IATA code for Palmdale Regional Airport?,PMD
What is the IATA code for Angoon Seaplane Base?,AGN
What is the IATA code for Malekoula Airport?,LPM
What is the IATA code for N'Délé Airport?,NDL
What is the IATA code for Oryol Yuzhny Airport?,OEL
What is the IATA code for Brunette Downs Airport?,BTD
What is the IATA code for Turpan Jiaohe Airport?,TLQ
What is the IATA code for MidCoast Regional Airport at Wright Army Airfield?,LIY
What is the IATA code for Beluga Airport?,BVU
What is the IATA code for Feijó Airport?,FEJ
What is the IATA code for Netaji Subhas Chandra Bose International Airport?,CCU
What is the IATA code for Sibulan Airport?,DGT
What is the IATA code for Long Apung Airport?,LPU
What is the IATA code for Chumphon Airport?,CJM
What is the IATA code for Harriet Alexander Field?,SLT
What is the IATA code for Fairbury Municipal Airport?,FBY
